Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug dbref entity property property findbypropertyin instances repository scenario findbyproperty entityrepository elements unwrap find convert,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template bug mongo mongotemplate problem data lazy loading entity string parent parent child mongo document criteria mongotemplate setters attribute load getid child accident reference assertnull database criteria dbref cglib getchild,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug product catalog abstractproduct spring wrapper mongo data indexes code list type declaration attribute books content list productwrapper agustisanchez arraylist springdatamongodbbug dbbug array books github book mongodb samples isbn aware,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1290,2015-09-17T15:30:23.000-05:00,,bug data sample findbysampledata sampledata findbysampledatewithannotation sampledate object annotation sampledomainobject test project domain query sample finders equivalent optional repository find,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,bug elemmatch batchid field object batch getmappedobject query resolution mapped match callback status collection elem string computer stat getters disp collectionname cursor input document cursorpreparer setters query mappedquery querymapper dbobjectcallback,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug query foo findbyembeddedin list collection object embeddedobject demo project spring test bug datamongo property jira https embedded embedded browse find demonstrate attach,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,bug query geo nearquery mongo georesults object distance returns nearquery geonear mongotemplate myobject findbytypeandlocationnear myobjecttype method distance max geo maxdistance type link todbobject log dbobject type info entities template point,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item assertequals gettotalelements types ids type item items repository itemrepository list test sword mongo findbytypein elements allids collection document itemrepository findbyidin type content gettotalpages identifiers mongorepository classrunner runner,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,bug question method questionid query annotate desc order sort approach object call field list answer score field findbyquestionidorderbyscoredesc score database string question create find attempts,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,bug type point definition contradiction writeinternal complex info custom domain converter converttomongotype mapping mappingmongoconverter model mongo recursively runtime object dbobject method order classes type inferred internal instantiable upgrade addcustomtypeifnecessary call,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,pig-0.11.1,PIG-2828,2012-07-19T05:03:16.000-05:00,,DataType PriorityQueue compare TOP TupleComparator siftUpUsingComparator updateTop siftUp Data Type TOP Comparator NullPointerException Bug,"src.org.apache.pig.data.DataType
src.org.apache.pig.builtin.TOP
test.org.apache.pig.test.TestNull"
