Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo mongotemplate problem bug data lazy loading entity parent string child parent child document mongo mongotemplate situation load setters attribute simple accident database getchild getid criteria findone dbref,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug catalog spring list product abstractproduct data wrapper code indexes mongo type productwrapper dbbug mongodb declaration agustisanchez github springdatamongodbbug book books list samples attribute books https aware wrapped defining infer,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,bug query getmappedobject object collection string field mapped list callback note java mongotemplate getters mongo entityclass setters status entity preparer objectcallback dbobjectcallback resolution dbobject cursorpreparer cursor dofind disp object preparer,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug bug query datamongo jira embeddedobject collection foo findbyembeddedin property list repository method project test spring https object demonstrating attached relate browse embedded find embedded,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,bug link geonear nearquery geo query method object myobject documents type georesults nearquery distance match max nearquery geo maxdistance point document distance findbytypeandlocationnear type dbobject todbobject mongotemplate location mongo template,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item items assertequals types gettotalelements ids type item repository itemrepository list swords test sword mongo testing findbytypein allids collection pageable elements itemrepository findbyidin type tostring content classrunner runner,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,bug score query answer question questionid desc order object question method approach sort score findbyquestionidorderbyscoredesc database field list string field annotated called attempts find created,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,bug point upgrade dbobject work writeinternal type runtime definition comment complex info custom domain converter converttomongotype mapping mappingmongoconverter model mongo recursively call object classes type internal instantiable addcustomtypeifnecessary inferred persisted,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,mahout-0.8,MAHOUT-1314,2013-08-18T09:07:48.000-05:00,,nullpointerexception pointer kmeans exception reducer kmeans streamingkmeansreducer streaming set bug streaming reduce null getcentroid reducer option centroid rskm method input clone time fails reduce,core.src.main.java.org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansReducer
CLASS,zookeeper-3.4.5,ZOOKEEPER-1781,2013-10-03T20:19:27.000-05:00,,snapcount count zoo server bug keeper snap set zookeeper fails code source snapshot rand error restriction documentation time nextint start validation roll randroll supposed mention add,src.java.main.org.apache.zookeeper.server.ZooKeeperServer
