Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug property dbref entity scenario instances findbypropertyin repository property findbyproperty elements entityrepository unwrap find assume convert,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo mongotemplate problem bug data lazy loading parent entity string parent document child mongo child mongotemplate simple situation load setters attribute getchild database getid criteria findone assertnull dbref,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug catalog list productwrapper type declaration indexes wrapper spring product mongodb abstractproduct data books book list books mongo wrapped defining aware infer defined created,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1290,2015-09-17T15:30:23.000-05:00,,bug data test project sampledate domain sample findbysampledatewithannotation findbysampledata query sampledata sample object annotation finders sampledomainobject find equivalent optional repository attached,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,bug query collection string mapped field getmappedobject callback object java mongotemplate getters mongo entityclass setters entity dbobjectcallback status dofind mappedquery preparer objectcallback list resolution cursorpreparer dbobject cursor object disp batchid,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug bug query embeddedobject test project collection foo findbyembeddedin property list method repository object attached demonstrating embedded find embedded,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,bug geo nearquery query object myobject georesults nearquery type distance link max maxdistance mongo point distance type findbytypeandlocationnear dbobject todbobject mongotemplate location template info log geonear myobjecttype geo documents matching,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item items assertequals types gettotalelements ids type item repository itemrepository list swords test sword mongo findbytypein allids collection pageable elements itemrepository findbyidin type tostring strip testing content classrunner,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1078,2014-10-28T02:23:26.000-05:00,,bug myuserid check key type presence ids sampleid userids collection findbyuserids list user userid sample typekey properties user queries query annotated sampleuser find converting,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,bug score query answer question questionid desc order object question method approach sort score findbyquestionidorderbyscoredesc database field list string field annotated called attempts find created,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,bug point definition type writeinternal complex info custom domain converter converttomongotype mapping mappingmongoconverter model mongo recursively runtime object classes type inferred internal instantiable addcustomtypeifnecessary persist persisted consist write add convert,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,pig-0.11.1,PIG-2767,2012-06-25T09:11:20.000-05:00,,bug storage pigstorage pig dereferenced schema describe script tuple nested fails,"src.org.apache.pig.newplan.logical.expression.DereferenceExpression
test.org.apache.pig.test.TestPigServer"
CLASS,pig-0.11.1,PIG-2828,2012-07-19T05:03:16.000-05:00,,bug field typefound databag datatype num bag data datatype type fieldnum findtype exception object type judge top compare generate find,"src.org.apache.pig.data.DataType
src.org.apache.pig.builtin.TOP
test.org.apache.pig.test.TestNull"
CLASS,pig-0.11.1,PIG-3310,2013-05-03T02:59:57.000-05:00,,bug getschema losplitoutput losplit member column data schema code output shop input dump explain,src.org.apache.pig.newplan.logical.relational.LOSplitOutput
CLASS,zookeeper-3.4.5,ZOOKEEPER-1619,2013-01-11T09:57:16.000-06:00,,Bug spaces URL code code code code format work format notice spaces comma add trim port hostname parsing Bug spaces URL stream invalid error test lock jersey inspector delete,src.java.main.org.apache.zookeeper.client.ConnectStringParser
CLASS,zookeeper-3.4.5,ZOOKEEPER-1781,2013-10-03T20:19:27.000-05:00,,snapcount count server zoo bug keeper snap set zookeeper fails code rand error start nextint source roll randroll supposed,src.java.main.org.apache.zookeeper.server.ZooKeeperServer
CLASS,jedit-4.3,1999448,2008-08-23T10:28:24.000-05:00,,Bug Quoted Matthieu comment patch explicit fold buffer remove expand folds fold level changed Bug set key action chunk event indent update focus,"org.gjt.sp.jedit.textarea.BufferHandler
org.gjt.sp.jedit.textarea.DisplayManager
org.gjt.sp.jedit.textarea.TextArea"
CLASS,argouml-0.22,4200,2006-05-11T23:30:25.000-05:00,,Bug Model folder defect stand main Model folder mouse click choose droped meniu Add rename diagrams jus drag mouse button releasing remains unchanged expected expandable diagram tree Bug set file action dir flavor remove add ombo,"org.argouml.ui.explorer.PerspectiveManager
org.argouml.ui.explorer.rules.GoModelElementToBehavior"
METHOD,eclipse-2.0,31779,2003-02-13T09:55:00.000-06:00,,folder file unified tree unifiedtree bug resources ensure exists resource system operations getstat user workspace problem stat moment refresh removed created assumed appears executing,"org.eclipse.core.internal.localstore.UnifiedTree:addChildrenFromFileSystem(UnifiedTreeNode, String, Object[], int)
org.eclipse.core.internal.localstore.UnifiedTree:createChildNodeFromFileSystem(UnifiedTreeNode, String, String)"
CLASS,openjpa-2.0.1,OPENJPA-1918,2011-01-06T08:11:24.000-06:00,,bug persistenceunitinfo metadatarepository persistence meta repository info data loader pass context classnotfoundexpcetions loeader loader report factory persistenceprovider getclassloader implementation metadatrepository manager unit createcontainerentitymanagerfactory entity provider container code appliation expcetions dat,"org.apache.openjpa.meta.FieldMetaData
org.apache.openjpa.meta.MetaDataRepository
org.apache.openjpa.persistence.detach.NoVersionEntity"
CLASS,openjpa-2.0.1,OPENJPA-1928,2011-01-20T17:43:52.000-06:00,,bug valueof string status order status externalizer orderstatus getname status persistent factory column getstatus optional ordinal expected selected,org.apache.openjpa.meta.FieldMetaData
METHOD,apache-nutch-2.1,NUTCH-1393,2012-06-13T18:38:39.000-05:00,,Bug code code print traditional usage stdout wanted usage params printed stdout generated batch willy nilly Bug manifest plugin parse folder lugin extension root path,"org.apache.nutch.crawl.GeneratorJob:generate(long, long, boolean, boolean)
org.apache.nutch.crawl.GeneratorJob:run(String[])"
METHOD,lang,LANG-832,2012-09-27T00:27:58.000-05:00,,bug format parse isnd fail works,org.apache.commons.lang3.time.FastDateParser:init()
METHOD,lang,LANG-363,2007-10-23T07:12:48.000-05:00,,bug string test org script utils codes difference system scripts javascripts document aaa escape element getelementbyid java script apache str lang spring println expression apache util web springframework java javascriptutils,"org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString(Writer, String, boolean)"
METHOD,lang,LANG-552,2009-11-09T12:40:57.000-06:00,,bug string org utils replaceeach list test code stringutils searchlist replacementlist replacement search assertequals junit pointer methods commons exception stringutilstest apache result replace original equals friendly fails lang expected,"org.apache.commons.lang3.StringUtils:replaceEach(String, String[], String[], boolean, int)"
METHOD,lang,LANG-292,2006-10-31T01:45:01.000-06:00,,xml bug unescapexml unescape dotestunescapeentity test entity unescape xffff test reference entity entitiestest overflow testnumberoverflow maximim ffff number entities exception java invalid fails left,"org.apache.commons.lang.Entities:unescape(String)
org.apache.commons.lang.Entities:unescape(Writer, String)"
