Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template bug mongo mongotemplate problem data lazy loading entity parent child child mongo parent string mongotemplate document junit test load setters reference attribute accident project assertnull database getid lot situation,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug catalog product indexes github wrapper books code catalog https type productwrapper list startup definition spring data dbbug list types declaration agustisanchez mongodb wrapper time data content books infromation samples,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,fields nest field keywords field bug combination nested string query collection getmappedobject note entityclass resolve getters dofind setters callback document data disp list mappedquery mongotemplate cursor preparer resolution java collectionname,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,property bug collection remove query datamongo test jira bug project embeddedobject collection query foo findbyembeddedin list spring https object embedded incorrect demonstrate browse embedded find generate relate attach,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,documents bug max elements matching method nearquery geonear query object myobject nearquery type distance document link query template mongotemplate match distance location findbytypeandlocationnear info dbobject todbobject log myobjecttype nearquery geo,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item types assertequals ids type gettotalelements items item elements repository list itemrepository swords test sword mongo findbytypein collection allids gettotalpages items itemrepository findbyidin type member tostring classrunner runner,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,field bug field annotation ignore alias question question questionid method desc query order sort approach object call list answer score findbyquestionidorderbyscoredesc score database string annotate create find attempts,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,objects object bug type write update writeinternal info custom converter mappingmongoconverter mongo recursively comment domain application type call version release store runtime converttomongotype work method upgrade execution definition model complex,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,mahout-0.8,MAHOUT-1314,2013-08-18T09:07:48.000-05:00,,nullpointerexception kmeans reduce pointer exception bug set streaming null getcentroid centroid option method input time clone fail reduce happen,core.src.main.java.org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansReducer
CLASS,zookeeper-3.4.5,ZOOKEEPER-1781,2013-10-03T20:19:27.000-05:00,,count snapcount bug set snap source nextint code snapshot time restriction documentation randroll validation rand roll supposed add mention,src.java.main.org.apache.zookeeper.server.ZooKeeperServer
CLASS,jedit-4.3,1999448,2008-08-23T10:28:24.000-05:00,,Bug fold expantion test patch avoid black hole bugs apply patch fold buffer remove expand folds fold level changed Bug fold expantion fold handler content error buffer update registers changed,"org.gjt.sp.jedit.textarea.BufferHandler
org.gjt.sp.jedit.textarea.DisplayManager
org.gjt.sp.jedit.textarea.TextArea"
CLASS,openjpa-2.0.1,OPENJPA-1918,2011-01-06T08:11:24.000-06:00,,loader bug ignore metadatarepository persistenceunitinfo manager data getclassloader container osgi classloader classnotfoundexpcetions code provider persistence openjpa entities createcontainerentitymanagerfactory repository dat appliation info loader unit factory clazzes metadatrepository multi persistenceprovider multiclassloader,"org.apache.openjpa.meta.FieldMetaData
org.apache.openjpa.meta.MetaDataRepository
org.apache.openjpa.persistence.detach.NoVersionEntity"
METHOD,lang,LANG-552,2009-11-09T12:40:57.000-06:00,,bug org string utils list replacement assertequals junit code stringutils replaceeach searchlist replacementlist test pointer string values test methods pass search stuff exception result expectations documentation outline commons apache stringutilstest,"org.apache.commons.lang3.StringUtils:replaceEach(String, String[], String[], boolean, int)"
FILE,SWARM,SWARM-863,2016-11-30T14:54:40.000-06:00,,bug wfs service testing shutdown project version swarm binaries swarm wfsw github windows clone http threads procrun bin prunmgr response start uber jvm directory time failure procrun task test output,org.wildfly.swarm.container.runtime.ServerBootstrapImpl
FILE,eclipse-3.1,78315,2004-11-10T12:53:00.000-06:00,,bug startup adapter tests load bundlecontext method compareuiplugin bundle java context plug start platform adapter diffnode getadaptermanager register node registeradapters diff adapters editor ins breakpoint manager factory loaded open compare,org.eclipse.team.internal.ui.TeamUIPlugin
FILE,eclipse-3.1,86000,2005-02-21T14:47:00.000-06:00,,jpeg images bug produce invalid string files dir test loader eclipse org loader print imageloader filein image fileout swtexception printstacktrace swt trace image imageloadertest image test majority jpg graphics swt,"org.eclipse.ui.internal.WorkbenchIntroManager
org.eclipse.swt.internal.image.JPEGFileFormat"
FILE,eclipse-3.1,96489,2005-05-24T14:40:00.000-05:00,,border bug standalone view browserapp app browser browser addstandaloneview view min view max change layout history ipage addview area title ipagelayout buttons layout factory browserperspectivefactory title editor showtitle perspective views,"org.eclipse.ui.presentations.WorkbenchPresentationFactory
org.eclipse.ui.internal.presentations.defaultpresentation.EmptyTabFolder"
FILE,eclipse-3.1,98740,2005-06-07T13:25:00.000-05:00,,project children bug refresh members api description disk workspace project resources getworkspace resourcesplugin gesture constants plugin user java projects load icoreconstants manager iproject job isset container stick background loop info,"org.eclipse.core.internal.resources.Container
org.eclipse.core.internal.resources.Resource"
CLASS,openjpa-2.2.0,OPENJPA-2163,2012-03-27T15:56:55.000-05:00,,bug manager createentitymanager entity listener factory lifecycle entity cycle life behavior spi emf manager listener instance factory entitymanagerfactory scenario mylifecyclelistener entitymanager addlifecyclelistener openjpaentitymanagerspi jpaentity open events specific expected occur create,"openjpa-kernel.src.main.java.org.apache.openjpa.conf.OpenJPAConfigurationImpl
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.validation.TestValidationMode"
CLASS,pig-0.11.1,PIG-3310,2013-05-03T02:59:57.000-05:00,,uids fields miscomputations schema bug nested generate lead losplit shop reproduction shopid outputs tuple lofilter uid work unit filter pushupfilter issue push optimization operation move losplitoutput losplitoutputs place output output,src.org.apache.pig.newplan.logical.relational.LOSplitOutput
FILE,DATACMNS,DATACMNS-114,2011-12-19T03:21:41.000-06:00,,bug repository contract abstractrepositoryconfigdefinitionparser detectcustomimplementation getimplementationclassname implementation custom config custom implementation anothercontractrepositoryimpl contract suffix type prefix wire application anothercontractrepositorycustom bean entity context contractrepository contractrepositorycustom impl contractrepositoryimpl parser contractrepository anothercontractrepositoryimpl anothercontractrepository,org.springframework.data.repository.config.AbstractRepositoryConfigDefinitionParser
FILE,DATACMNS,DATACMNS-233,2012-09-14T07:38:12.000-05:00,,strings converter domain sources bug domainclassconverter empty gracefully manytoone class mycomp issue org customer persistence property lang domain web validation javax notice customer post binding string java type notnull reference,"org.springframework.data.repository.support.DomainClassConverterUnitTests
org.springframework.data.repository.support.DomainClassConverter"
CLASS,derby-10.9.1.0,DERBY-3024,2007-08-23T05:24:31.000-05:00,,bug machine check base clients prepared genericpreparedstatement test baseactivation throughput checkstatementvalidity increase activation threads scalability append uptodate blocks plan statement validity thread cpu preparedstatement sql comment layer object time profiler,"java.engine.org.apache.derby.impl.store.access.heap.HeapConglomerateFactory
java.engine.org.apache.derby.impl.store.raw.data.FileContainer
java.engine.org.apache.derby.impl.store.raw.data.RAFContainer
java.testing.org.apache.derbyTesting.functionTests.tests.lang.DBInJarTest
java.engine.org.apache.derby.impl.store.raw.data.TempRAFContainer
java.engine.org.apache.derby.impl.store.raw.data.InputStreamContainer
java.engine.org.apache.derby.impl.store.access.btree.index.B2IFactory"
CLASS,derby-10.9.1.0,DERBY-6053,2013-01-25T09:02:53.000-06:00,,statement isolation transaction client set connection bug settransactionisolation prepared regular network server exception network statement networkserver sqlexception system server start ping retries java control read reply info sql customer shutdown,java.client.org.apache.derby.client.am.Connection
METHOD,time,88,2013-11-25T19:15:46.000-06:00,,bug hour hourofday clockhourofday datetimefieldtype field day partials objects year cases types time array work construct field isequal clockhour constructor equal partials java type partial merging duplicate constructed calling merge,"org.joda.time.Partial:with(DateTimeFieldType, int)"
FILE,COMPRESS,COMPRESS-273,2014-04-11T04:13:32.000-05:00,,bug org archivers apache instance data types documentation nullpointerexception constructors pointer exception couple issue test data local file zipshort unicodecommentextrafield getlocalfiledatalength extra zip field length unicode argument fields number cases,"org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry
org.apache.commons.compress.archivers.zip.ExtraFieldUtils
org.apache.commons.compress.archivers.zip.UnrecognizedExtraField"
FILE,swt-3.1,104545,2005-07-20T14:21:00.000-05:00,,Bug size empty composites smaller WIDTH HEIGHT constants Widget java changed smaller equal work tests tests write RCP app enable cool bar pixel size border empty coolbar border windows big empty space top confuse big empty space top bug cool bar items occur bug RCP application start RCP application open perspective Bug size empty composites smaller set selection create item layout data image child,org.eclipse.swt.widgets.CoolBar
FILE,swt-3.1,86000,2005-02-21T14:47:00.000-06:00,,jpeg images bug produce invalid string files dir test loader eclipse org loader print imageloader filein image fileout swtexception printstacktrace swt trace image imageloadertest image test majority jpg graphics swt,org.eclipse.swt.internal.image.JPEGFileFormat
FILE,swt-3.1,87460,2005-03-08T21:22:00.000-06:00,,bug text font shell style styles eclipse display swt caret org layout style range event standard swt gettext font isdisposed styledtext normal widget length readanddispatch settext listener string screen bold,org.eclipse.swt.custom.StyledText
FILE,CONFIGURATION,CONFIGURATION-481,2012-02-26T20:27:46.000-06:00,,bug configuration properties configurationat string abc config configuration myvar getconfiguration test desc work syntax getstring xml reference products product file commons combinedconfig variable retrieve combined declare,"org.apache.commons.configuration.DefaultConfigurationBuilder
org.apache.commons.configuration.interpol.ConfigurationInterpolator
org.apache.commons.configuration.TestDefaultConfigurationBuilder"
CLASS,hibernate-3.5.0b2,HHH-4617,2009-11-28T11:42:08.000-06:00,,Bug Lob entity property annotated entity Lob lazy fetch type read OID bytes read OID oid type oid read column application write bytea create oid column proper behavior dealing PostgreSQL behavior Hibernate oids Bug set table build property column cascade component foreign,"org.hibernate.type.CharacterArrayClobType
org.hibernate.type.MaterializedClobType
org.hibernate.type.PrimitiveCharacterArrayClobType
org.hibernate.type.WrappedMaterializedBlobType
org.hibernate.type.MaterializedBlobType
org.hibernate.test.lob.MaterializedBlobTest
org.hibernate.type.BlobType
org.hibernate.type.ClobType
org.hibernate.test.lob.ClobLocatorTest
org.hibernate.dialect.Dialect
org.hibernate.cfg.annotations.SimpleValueBinder
org.hibernate.dialect.PostgreSQLDialect
org.hibernate.Hibernate"
METHOD,openjpa-2.0.1,OPENJPA-1627,2010-04-12T05:21:13.000-05:00,,columns sql bug wrong transaction transactionid transaction number column tran transacionid maccno element transacion transequencenumber processdate process sequence compound mprocdate mtrancde key description idea mtranseqno embeddedid string join mbranch onetomany,"org.apache.openjpa.jdbc.meta.JDBCRelatedFieldOrder:order(Select, ClassMapping, Joins)"
CLASS,pig-0.8.0,PIG-730,2009-03-24T14:36:45.000-05:00,,schema combine bug bag union nested work target syntax outlinks error storage bin binstorage care works flatten generate expect don,"src.org.apache.pig.impl.logicalLayer.schema.Schema
src.org.apache.pig.newplan.logical.expression.DereferenceExpression
src.org.apache.pig.newplan.logical.relational.LogicalSchema
test.org.apache.pig.test.TestSchema"
METHOD,math,MATH-358,2010-03-24T17:25:37.000-05:00,,integration range bug test integrator integrator exception derivative derivativeexception ydot code derivatives fact size computederivatives finalt integratorexception cases assertequals getdimension firstorderdifferentialequations lead dimension dormandprince dot order prince equations setinitialstepsize step,"org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator:integrate(FirstOrderDifferentialEquations, double, double[], double, double[])
org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator:integrate(FirstOrderDifferentialEquations, double, double[], double, double[])"
METHOD,math,MATH-1021,2013-08-10T00:00:22.000-05:00,,integer bug overflow suffer hypergeometricdistribution distribution hypergeometric getpopulationsize prints getnumberofsuccesses sample number math getsamplesize code commons population distribution sample application printf string returns system getsupportupperbound values org port successes getsupportlowerbound,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean()
