Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,lucene-4.0,LUCENE-4671,2013-01-09T12:32:07.000-06:00,,bug charsref start length check charsequence sequence indexoutofboundsexception subsequence specs code exception constructor bounds real chars offset note meet override chars,org.apache.lucene.util.TestCharsRef
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug property property entity dbref findbypropertyin instances repository elements entityrepository findbyproperty unwrap find convert,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,bug parent parent mongo child mongotemplate child string situation setters getchild template load database getid attribute entity document criteria findone dbref assertnull criteria setname daddy getters persisted happen fails query,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug list indexes type list declaration catalog spring wrapper mongodb productwrapper data abstractproduct books book product mongo aware created infer defined,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1290,2015-09-17T15:30:23.000-05:00,,bug data sampledate domain sample findbysampledatewithannotation findbysampledata query sampledata sample object annotation finders sampledomainobject equivalent optional repository find,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,bug exceptiontranslator translator mongotemplate translateexceptionifpossible exception mongo translator exception template original translate,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,bug collection query string callback field getters entityclass setters preparer status objectcallback entity object dbobjectcallback object mapped mappedquery dofind query list resolution cursorpreparer dbobject cursor getmappedobject querymapper disp batchid preparer,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug query embeddedobject collection foo findbyembeddedin property list object embedded find embedded,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,bug nearquery geo query object myobject georesults nearquery type link distance max mongo maxdistance point distance mongotemplate type findbytypeandlocationnear template dbobject location todbobject info log geonear myobjecttype geo documents matching,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item assertequals ids items type item repository types itemrepository list test sword mongo swords elements gettotalelements findbytypein collection allids itemrepository findbyidin type tostring classrunner runner content spring mongorepository,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
