Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,ChmLzxBlock extractChmEntry extractContent ChmExtractor Chm CHMDocumentInformation getContent getText parse Content ChmParser Bug     Process loops infinitely on parsing of a CHM file,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
FILE,DATAMONGO,DATAMONGO-1394,2016-03-09T10:36:46.000-06:00,,bug querydsl library library book book bookrepository dbref java string items bookservice list exp service findall findbylibraryid list expression qbook booleanexpression libraryrepository empty findbyid repository expected find,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer
org.springframework.data.mongodb.repository.support.QuerydslRepositorySupportTests"
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,createDBRef MappingMongoConverter QueryMapper CollectionNameProvidedMongoConverter MongoTemplate convertAssociation ExcludeDBRefFieldTest getMappedObject findOne toDBRef testExcludeChildren MappingException Bug     Excluding DBRef field in a query causes a MappingException,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,collection work bug values dbref property property findbyproperty converting entity findbypropertyin entityrepository convertingiterator array dbrefs repository iterator execution reason fail find create treats translated correctly,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type alias typealias bug configuration mongo abstractmongoconfiguration annotation abstract document classes simple fine property converter mapping documentation creation aftermappingmongoconvertercreation converter annotations simpletypeinformationmapper mapper modifications annotate suggests writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,Bug Exception authentication multithreaded access Runnable Bug details http forum springsource org showthread php authenticate database Bug Exception authentication multithreaded access mongo mapping database write set exception base converter,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,criteria exception bug reduce mapreduce map geo creating argument illegal box illegalargumentexception location lowerleft upperright lang geocommand mongo mongodb geo org mongodb collection java data query core command springframework exception,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-969,2014-06-26T16:28:13.000-05:00,,string collection dsl field bug objectid query querydsl object mapped collection array user list arraylist repository quser user userrepository findall clause document datamongo empty iterable translating find resolved add abcdef,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializerUnitTests
org.springframework.data.mongodb.repository.AbstractPersonRepositoryIntegrationTests
org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template problem bug mongo mongotemplate data lazy loading parent parent string entity mongo child getchild child document junit getid assertnull test attribute accident mongotemplate criteria setters load database criteria findone,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,converter custom implementation bug updates allocation persistant object string code enum allocation update mypersistantobject mongotemplate test writer converters mongo assertthat reader template conversions document customer code allocated getcode type decimal,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types bug involve product abstractproduct type catalog content wrapper spring productwrapper indexes data startup association books time mongo code definition attribute book list catalog isbn wrapper https array isbn dbbug,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,user runtime bug exceptions convert defined npes exception translator mongo exception translateexceptionifpossible exceptiontranslator mongotemplate code translation persistence provider runtime runtimeexception template pointer mongoexceptiontranslator encounters translate original unknown places occur eats,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested field fields query field mapper keywords combination bug querying match batchid query status elemmatch batch stat resolution elem callback computer document string collection disp list object getmappedobject dbobject cursor,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug query collection property objects embedded remove object list embeddedobject collection findbyembeddedin foo bug query demo jira datamongo spring embedded incorrect generates https find browse,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,geonear documents geo max bug elements matching returns query near nearquery mongo geo object georesults returns distance findbytypeandlocationnear mongotemplate distance myobjecttype myobject method type maxdistance link nearquery todbobject dbobject log,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,query bug keyword findbyinid pageable find string item assertequals item type findbytypein list sword ids types repository test gettotalelements itemrepository mongo elements items allids collection type testpageableidin request pagerequest gettotalpages,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1068,2014-10-08T19:43:32.000-05:00,,bug cirteria special build criteria elemmatch elem gte string match haven map json lte key room list start serialization empty occupied explained assign invoking,"org.springframework.data.mongodb.core.query.CriteriaTests
org.springframework.data.mongodb.core.query.Criteria"
FILE,DATAMONGO,DATAMONGO-1078,2014-10-28T02:23:26.000-05:00,,query repository query bug complex structure map annotated fails myuserid user userid sample ids user list sampleid userids collection mongo stringbasedmongoquery findbyuserids string object type restrictions mongo sampleuser find based,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1050,2014-09-09T03:41:12.000-05:00,,documents simple findbyid repository mongo ids simplemongorepository bug nested don find data objects innerdocs workaround data list args constructor docs updatefirst fields mongo string start myid noargsconstructor setters lombok ids,"org.springframework.data.mongodb.core.mapping.BasicMongoPersistentProperty
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
org.springframework.data.mongodb.core.mapping.BasicMongoPersistentPropertyUnitTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-952,2014-06-10T22:45:47.000-05:00,,restrictions bug work field fields query user query string findbyemail email limit definition returns attribute annotation limitation queries repository email find applied define fetched based,org.springframework.data.mongodb.repository.query.PartTreeMongoQuery
FILE,DATAMONGO,DATAMONGO-1498,2016-09-25T22:21:26.000-05:00,,types auto bug detected spring datetime data property time joda unwrapped mongo mydate customconversions type json objects custom properties solution mongodb holder entity representation type jsonproperty options boot problem annotation,"org.springframework.data.mongodb.repository.config.MongoRepositoryConfigurationExtension
org.springframework.data.mongodb.config.AuditingViaJavaConfigRepositoriesTests
org.springframework.data.mongodb.config.MongoAuditingRegistrar"
FILE,DATAMONGO,DATAMONGO-1269,2015-08-04T23:04:39.000-05:00,,querymapper query mapper maps bug numeric drops content map somecontent content string notnullvalue findone foo integer map entity template assertthat text tostring valueof test collections override query mapping singleton save,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.UpdateMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-663,2013-04-24T03:21:19.000-05:00,,method bug equals field spec equal field query mongodb springframework query org fieldspec core data testing unit fields needed fieldsequal implement purpose,org.springframework.data.mongodb.core.query.Field
FILE,DATAMONGO,DATAMONGO-717,2013-07-10T11:13:46.000-05:00,,application context entities bug persistent distributed properly context mappingcontext mapping mapping mongo mongomappingcontext entity entity exception type application setapplicationcontext persistent applicationcontext override abstractmongoconfiguration holder getpersistententities beans basicmongopersistententity multi conversions classnotfoundexception,org.springframework.data.mongodb.config.AbstractMongoConfigurationUnitTests
FILE,DATAMONGO,DATAMONGO-721,2013-07-11T11:36:06.000-05:00,,attribute operations bug type polymorphic update persisted child childclass template document list document mongo update updatefirst child parentclass items code list mongotemplate query parent mongo query criteria subclass mongotemplate spring,org.springframework.data.mongodb.core.convert.QueryMapper
FILE,DATAMONGO,DATAMONGO-467,2012-06-24T08:58:49.000-05:00,,string dsl query querydsl field bug object objectid path mapped aea spring data log shell mongodb query mongodb mongod user mongo quser layers document repository find returns translating appears,org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializerUnitTests
FILE,DATAMONGO,DATAMONGO-629,2013-03-22T04:08:25.000-05:00,,field count bug criteria find zzz test query mongotemplate user mongo response query client method mapper determinekey reason springframework template map mongodb org regex hash console java querymapper key hashmap,"org.springframework.data.mongodb.core.mapping.MongoMappingContext
org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-571,2012-11-09T08:00:10.000-06:00,,domain version spring bug mongodb data mongo values doesn save crud problem crudrepository findone repository scenario definition annotation doesnt find occur,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.query.Update"
FILE,DATAMONGO,DATAMONGO-602,2013-01-30T02:22:53.000-06:00,,integer biginteger big field type bug querying returns profile profileids ids profile document work list mongodb mongo list representation elements format predicate item findprofileids oid mongodbquery mongodb findall qprofile query,org.springframework.data.mongodb.core.MongoTemplateTests
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,method query order field orderby bug field annotation ignores alias question questionid question desc sort answer score list score database findbyquestionidorderbyscoredesc string find attempts,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-887,2014-03-20T21:01:31.000-05:00,,ParameterizedTypeInformation getComponentType Type Parameterized Component ArrayIndexOutOfBoundsException Bug     Repository not instantiated when entity contains field of type TreeMap,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-897,2014-04-01T04:38:51.000-05:00,,target dbref bug spring ref data mongo project details nullpointerexception template pointer test mongotemplate exception regression mongodb findandmodify issue commons find thrown modify release attached passing,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.QueryMapper"
