Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
METHOD,math,MATH-358,2010-03-24T17:25:37.000-05:00,,integrator integration range bug ode test integrator code exception derivative derivativeexception ydot derivatives fact integratorexception computederivatives finalt size cases assertequals lead getdimension firstorderdifferentialequations dimension order dot prince dormandprince equations setinitialstepsize,"org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator:integrate(FirstOrderDifferentialEquations, double, double[], double, double[])
org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator:integrate(FirstOrderDifferentialEquations, double, double[], double, double[])"
METHOD,math,MATH-1021,2013-08-10T00:00:22.000-05:00,,hypergeometricdistribution distribution hypergeometric sample integer bug overflow suffers getpopulationsize prints getnumberofsuccesses math number getsamplesize code commons population sample application distribution printf string returns system getsupportupperbound values org successes port getsupportlowerbound,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean()
CLASS,hibernate-3.5.0b2,HHH-4617,2009-11-28T11:42:08.000-06:00,,Bug Lob entity property annotated Lob lazy fetch type table createad created column type oid column read application Hibernate reads OID bytes oid write bytea remember auto creating table Hibernate creates oid column oids deal PostgreSQL Bug set table build property column cascade component foreign,"org.hibernate.type.CharacterArrayClobType
org.hibernate.type.MaterializedClobType
org.hibernate.type.PrimitiveCharacterArrayClobType
org.hibernate.type.WrappedMaterializedBlobType
org.hibernate.type.MaterializedBlobType
org.hibernate.test.lob.MaterializedBlobTest
org.hibernate.type.BlobType
org.hibernate.type.ClobType
org.hibernate.test.lob.ClobLocatorTest
org.hibernate.dialect.Dialect
org.hibernate.cfg.annotations.SimpleValueBinder
org.hibernate.dialect.PostgreSQLDialect
org.hibernate.Hibernate"
FILE,DATACMNS,DATACMNS-114,2011-12-19T03:21:41.000-06:00,,bug repository contract custom implementation detectcustomimplementation bean impl suffix abstractrepositoryconfigdefinitionparser repositories prefix contract type context wildcard implementation custom config parser getimplementationclassname contractrepository definition contractrepositoryimpl contractrepositorycustom linux contractrepositoryimpl anothercontractrepositoryimpl contractrepository anothercontractrepository,org.springframework.data.repository.config.AbstractRepositoryConfigDefinitionParser
FILE,DATACMNS,DATACMNS-233,2012-09-14T07:38:12.000-05:00,,strings sources bug empty customer manytoone domain javax converter customer string order java domain mycomp lang issue type org property notice validation notnull persistence binding reference web exception references blocker,"org.springframework.data.repository.support.DomainClassConverterUnitTests
org.springframework.data.repository.support.DomainClassConverter"
CLASS,derby-10.9.1.0,DERBY-3024,2007-08-23T05:24:31.000-05:00,,scalability plans bug validation hurts shared machine test plan check clients prepared base baseactivation genericpreparedstatement throughput increase checkstatementvalidity activation uptodate statement values validity cpu preparedstatement thread threads sql blocks layer,"java.engine.org.apache.derby.impl.store.access.heap.HeapConglomerateFactory
java.engine.org.apache.derby.impl.store.raw.data.FileContainer
java.engine.org.apache.derby.impl.store.raw.data.RAFContainer
java.testing.org.apache.derbyTesting.functionTests.tests.lang.DBInJarTest
java.engine.org.apache.derby.impl.store.raw.data.TempRAFContainer
java.engine.org.apache.derby.impl.store.raw.data.InputStreamContainer
java.engine.org.apache.derby.impl.store.access.btree.index.B2IFactory"
CLASS,derby-10.9.1.0,DERBY-6053,2013-01-25T09:02:53.000-06:00,,statement isolation transaction client set connection bug settransactionisolation prepared regular server network network exception statement networkserver sqlexception start server ping system control read retries reply info java customer sql derby,java.client.org.apache.derby.client.am.Connection
METHOD,time,88,2013-11-25T19:15:46.000-06:00,,bug types hour day construct hourofday objects datetimefieldtype field work clockhourofday isequal field year constructor cases time equal clockhour array type doesn partials java partial merging call merge invoke matching,"org.joda.time.Partial:with(DateTimeFieldType, int)"
FILE,COMPRESS,COMPRESS-273,2014-04-11T04:13:32.000-05:00,,nullpointerexception exception pointer creation fields bug entries scratch null constructors org archivers argument apache cases instance attachment couple data test types zipshort getlocalfiledatalength local unicode field zip data extra length,"org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry
org.apache.commons.compress.archivers.zip.ExtraFieldUtils
org.apache.commons.compress.archivers.zip.UnrecognizedExtraField"
CLASS,zookeeper-3.4.5,ZOOKEEPER-1781,2013-10-03T20:19:27.000-05:00,,server count zoo bug keeper snapcount set snap zookeeper fails code snapshot time source restriction documentation start nextint error rand validation roll randroll suppose mention add,src.java.main.org.apache.zookeeper.server.ZooKeeperServer
