Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,lucene-4.0,LUCENE-4461,2012-10-05T10:21:38.000-05:00,,facet request facetrequest bug path multiple inconsistent creates params author talk hashcode categorypath countfacetrequest category addfacetrequest count facetsearchparams path requests test facetsearchparams facet add wrong search equal merged creating define,org.apache.lucene.facet.search.StandardFacetsAccumulator
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception mapping field mappingexception bug dbref excluding test children operations parentclass findone java parent parentclass parent field parentfield criteria lang query fields mongooperations integer trace simple find attached mongo,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type alias typealias configuration bug mongo abstractmongoconfiguration annotation abstract document classes simple mapping property converter creation aftermappingmongoconvertercreation converter annotations simpletypeinformationmapper modifications mapper annotate writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,exception criteria bug reduce mapreduce map geo creating box argument illegal mongo location mongodb upperright geocommand lowerleft illegalargumentexception geo org mongodb collection data query command springframework core exception upper left,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo problem mongotemplate bug data lazy loading parent child entity string parent database load document child mongo assertnull getchild mongotemplate setters junit test problem project simple situation getid,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,converter custom implementation bug updates persistant allocation object enum mypersistantobject allocation string mongotemplate update test conversion mongo query custom type code pojo assertthat allocated purposes getcode enum decimal converters query,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types bug involve catalog product type indexes startup abstractproduct data association wrapper content productwrapper time spring mongo list book isbn catalog definition code wrapper books https dbbug agustisanchez book springdatamongodbbug,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested field fields field query keywords mapper bug combination querying query status getmappedobject resolution collection string object list mapped callback mongo dbobject java mongotemplate list mongo annotations dbobjectcallback entity cursorpreparer,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug query property collection objects embedded remove bug datamongo jira method object embeddedobject findbyembeddedin collection foo repository query list project test spring https demonstrating attached incorrect relate browse embedded generates,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,geonear documents geo max bug elements matching returns near nearquery link query geo method object myobject point type maxdistance type distance distance georesults findbytypeandlocationnear location match nearquery nearquery dbobject mongotemplate,org.springframework.data.mongodb.core.MongoOperations
