Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,ToXMLContentHandler ElementInfo getPrefix Prefix Element Handler Info XMLContent StackOverFlowError Bug     StackOverflow error in org apache tika sax ToXMLContentHandler ElementInfo getPrefix ToXMLContentHandler java,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,Bug Process loops infinitely parsing CHM file code code parsing attachment CHM file eventcombmt chm Microsoft Files Java process stuck Bug Process loops infinitely parsing CHM file set block chm data content tree unmarshal length,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
CLASS,tika-1.3,TIKA-1192,2013-11-06T15:31:41.000-06:00,,rtf exception arrayindexoutofboundsexception array bounds bug parsing index out file noformat exception parse,"tika-parsers.src.test.java.org.apache.tika.parser.rtf.RTFParserTest
tika-parsers.src.main.java.org.apache.tika.parser.rtf.TextExtractor"
FILE,DATAMONGO,DATAMONGO-1394,2016-03-09T10:36:46.000-06:00,,bug library empty book bookrepository book library findall list items exp list dbref string expression qbook booleanexpression findbylibraryid libraryrepository findbyid repository expected find,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer
org.springframework.data.mongodb.repository.support.QuerydslRepositorySupportTests"
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception field mappingexception bug mapping dbref excluding operations parentclass findone parent parentclass children parent field parentfield criteria test query mongooperations fields trace mongo find exclude,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug dbref property property entity converting findbyproperty convertingiterator array findbypropertyin collection dbrefs repository iterator execution reason entityrepository fail treats create translated find correctly,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type abstractmongoconfiguration typealias alias mongo bug configuration annotation abstract document simple converter aftermappingmongoconvertercreation creation converter property mapping modifications simpletypeinformationmapper mapper writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,Bug Exception authentication multithreaded access Runnable Bug Exception authentication multithreaded access mongo mapping database write set exception base converter,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-1043,2014-09-01T05:30:48.000-05:00,,spel document expressions annotations executions bug query evaluated entity mongo problem expressions requests operations persistent questions collection mongoquerymethod metadata datamongo abstractmongoquery stackoverflow singleentityexecution gierke jira mongoentitymetadata method basicmongopersistententity collectionname object,"org.springframework.data.mongodb.repository.query.SimpleMongoEntityMetadata
org.springframework.data.mongodb.repository.query.MongoQueryMethod"
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,exception criteria bug reduce mapreduce map geo creating box argument location illegal upperright mongo mongodb lowerleft illegalargumentexception collection exception upper left query reads,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
