Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,lucene-4.0,LUCENE-4461,2012-10-05T10:21:38.000-05:00,,bug lucene problem facet params author categorypath requests hashcode category countfacetrequest request addfacetrequest count facetsearchparams path facetsearchparams facet test talking recognize defining add search wrong equals fixed create attached,org.apache.lucene.facet.search.StandardFacetsAccumulator
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,bug element understanding xls currentelement issue elementinfo info currentelement files method endelement parent namespaces big store parse current solves,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,ChmLzxBlock extractChmEntry extractContent ChmExtractor Chm CHMDocumentInformation getContent getText parse Content ChmParser Bug,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
FILE,DATAMONGO,DATAMONGO-1394,2016-03-09T10:36:46.000-06:00,,bug library book library java book bookrepository findall string items list bookservice list dbref service exp libraryrepository findbylibraryid luck findbyid qbook expression empty booleanexpression repository expected find,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer
org.springframework.data.mongodb.repository.support.QuerydslRepositorySupportTests"
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,createDBRef MappingMongoConverter QueryMapper CollectionNameProvidedMongoConverter MongoTemplate convertAssociation ExcludeDBRefFieldTest getMappedObject findOne toDBRef testExcludeChildren MappingException Bug     exclude DBRef field in query cause MappingException,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug entity property dbref property findbypropertyin repository findbyproperty scenario entityrepository find,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,bug annotations classes fine documentation document property abstractmongoconfiguration configuration typealias mongo alias type modifications write annotate suggests,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,bug mongo documentdao dao mongooperations objects thread showthread http database php forum bunch insert springsource operations maxpool org mongodb test authenticate document threadpoolexecutor pool executor details inserts minpool runnable perform,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,criteria bug reduce mapreduce map geo create location query illegalargumentexception argument illegal geocommand geo org mongodb command springframework exception lang lowerleft upperright box box collection mongodb mongo data core java,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template bug mongo mongotemplate problem data lazy loading entity parent child parent string criteria mongo document attribute load getid setters mongotemplate child accident reference assertnull database criteria findone cglib dbref,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,bug allocation persistant object code allocation string converters test mypersistantobject custom mongotemplate custom update mongo conversions assertthat converter reader document workaround code template enum allocated application writer getcode query customconversions,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug product catalog abstractproduct wrapper code spring productwrapper dbbug list type content attribute array data agustisanchez list springdatamongodbbug mongo isbn github samples book arraylist books holding https define,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1290,2015-09-17T15:30:23.000-05:00,,bug findbysampledatewithannotation sampledata object data sampledomainobject sampledate domain test project sample findbysampledata query sample annotation optional find,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,bug elemmatch batchid field batch match query object elem getmappedobject resolution callback stat status mapped collection computer string getters disp collectionname cursor document query setters cursorpreparer mappedquery dbobjectcallback querymapper list,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug query findbyembeddedin list foo collection object embeddedobject datamongo jira test demo bug project https spring embedded embedded demonstrate browse find attach,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
