Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,ToXMLContentHandler ElementInfo getPrefix Prefix Element Handler Info XMLContent StackOverFlowError Bug     StackOverflow error in org apache tika sax ToXMLContentHandler ElementInfo getPrefix ToXMLContentHandler java,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception mapping field mappingexception bug dbref excluding test children operations parentclass findone java parent parentclass parent field parentfield criteria lang query fields mongooperations integer simple find attached mongo exclude,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type alias typealias bug configuration mongo abstractmongoconfiguration annotation abstract document classes converter property mapping simple creation simpletypeinformationmapper aftermappingmongoconvertercreation converter annotations mapper modifications annotate writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,exception criteria bug reduce mapreduce map geo creating box argument illegal mongo location mongodb upperright geocommand lowerleft illegalargumentexception geo org mongodb collection data query command springframework core upper left serialize,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo problem mongotemplate bug data lazy loading parent entity child string parent database load document child mongo mongotemplate setters simple accident situation junit test getchild project getid criteria,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,converter custom implementation bug updates object allocation persistant allocation mypersistantobject test code mongotemplate string update custom query mongo enum customconversions decimal conversion query enum assertthat big allocated getcode pojo converters,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,indexes bug types associations involving missing catalog product spring type abstractproduct wrapper code catalog books https startup definition time wrapper list agustisanchez data content productwrapper dbbug data mongo github infromation,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested field fields query bug keywords combination mapper field querying query resolution getmappedobject collection object string list mapped callback stat queries note dbobject getters disp setters entity status dbobjectcallback objectcallback,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,query collection property bug objects embedded remove bug datamongo method object test embeddedobject jira foo collection query project list repository findbyembeddedin https spring incorrect relate browse embedded generate demonstrating find,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,geonear documents geo bug max elements matching returns near nearquery link query geo object myobject pageable nearquery result type point match distance maxdistance type distance georesults location findbytypeandlocationnear method nearquery,org.springframework.data.mongodb.core.MongoOperations
