Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,ToXMLContentHandler ElementInfo getPrefix Prefix Element Handler Info XMLContent Bug     StackOverflow error in org apache tika sax ToXMLContentHandler ElementInfo getPrefix ToXMLContentHandler java,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,Bug Process loops infinitely parsing CHM file code code parsing attachment CHM file eventcombmt chm Microsoft Files Java process stuck Bug Process loops infinitely parsing CHM file set block chm data content tree unmarshal length,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
FILE,DATAMONGO,DATAMONGO-1394,2016-03-09T10:36:46.000-06:00,,querydsl query dsl bug references handled correctly library library string dbref bookrepository book reference findall book items list empty findbylibraryid list expression luck qbook libraryrepository findbyid exp repository expected find,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer
org.springframework.data.mongodb.repository.support.QuerydslRepositorySupportTests"
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception mapping field mappingexception dbref bug excluding test operations parentclass findone parent parentclass children parent parentfield field criteria query mongooperations fields simple attached mongo find exclude,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug associations work collection conversion values doesn property property scenario findbypropertyin dbref repository entity entityrepository findbyproperty find assume,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type bug abstractmongoconfiguration typealias configuration alias mongo annotation abstract document converter property converter mapping aftermappingmongoconvertercreation creation modifications writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,bug exception access authentication multithreaded objects mongo maxpool executor pool threadpoolexecutor thread operations document documentdao mongooperations mongodb bunch dao insert test inserts minpool set runnable executed add perform calls,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,exception criteria bug reduce mapreduce map geo creating box argument location illegal upperright mongo mongodb lowerleft illegalargumentexception collection upper left query,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo mongotemplate problem bug data lazy loading parent string entity parent document child child load mongo mongotemplate database simple setters situation getchild criteria findone getid code dbref assertnull,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,converter custom implementation bug updates persistant object allocation test purposes pojo mypersistantobject allocation enum update string custom assertthat mongotemplate allocated getcode mongo query converters writer code code decimal reader exception,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types associations bug indexes involving missing catalog wrapper productwrapper product abstractproduct list books defining wrapped book,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1290,2015-09-17T15:30:23.000-05:00,,bug work parameter query annotation data test sampledate project domain sample findbysampledatewithannotation findbysampledata sampledata sample object sampledomainobject annotation optional find attached,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-1288,2015-09-16T23:51:16.000-05:00,,update method string atomicinteger number bug work integer atomic fails core org mongodb isn springframework json query data correct update execute pass generated,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.MongoConverters
org.springframework.data.mongodb.core.convert.CustomConversions"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested field query bug fields keywords mapper combination field querying query collection string mapped getmappedobject callback object java mongotemplate mongo entityclass entity dbobjectcallback getters status mappedquery dofind setters objectcallback list,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug query collection property objects embedded remove method object test embeddedobject collection bug repository findbyembeddedin foo list project embedded demonstrating find attached,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,geonear documents geo bug max elements matching returns near nearquery query geo object myobject type link point distance mongo type maxdistance distance georesults location findbytypeandlocationnear nearquery template mongotemplate dbobject info,org.springframework.data.mongodb.core.MongoOperations
