Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,lucene-4.0,LUCENE-4461,2012-10-05T10:21:38.000-05:00,,bug inconsistent create facet params request author talk hashcode categorypath countfacetrequest category facetrequest addfacetrequest count facetsearchparams path requests test facetsearchparams facet add multiple wrong search equal merged creating define,org.apache.lucene.facet.search.StandardFacetsAccumulator
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception mapping field mappingexception bug dbref excluding test children operations parentclass findone java parent parentclass parent field parentfield criteria lang query fields mongooperations integer simple find attached mongo exclude,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,configuration bug abstractmongoconfiguration mongo abstract alias document type typealias classes property mapping converter creation converter aftermappingmongoconvertercreation annotations modifications annotation annotate writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,exception criteria bug reduce mapreduce map geo creating box argument illegal mongo location mongodb upperright geocommand lowerleft illegalargumentexception geo org mongodb collection data query command springframework core upper left serialize,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo problem mongotemplate bug data lazy loading parent entity child string parent document child mongo database load mongotemplate simple setters situation accident getchild getid criteria findone dbref assertnull,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,bug updates persistant allocation object mypersistantobject allocation test mongotemplate converter code update query mongo customconversions custom conversion string pojo purposes assertthat allocated enum getcode enum converters code decimal writer document,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types bug involve catalog product abstractproduct code list spring dbbug data agustisanchez wrapper springdatamongodbbug productwrapper mongo samples attribute github books wrapped defining book https,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,fields nest field keywords bug field combination nested query getmappedobject object collection mapped list string callback note java mongotemplate mongo entityclass status entity getters setters objectcallback dbobjectcallback dofind resolution dbobject,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,property collection bug remove bug datamongo query embeddedobject jira method collection test list foo project repository findbyembeddedin https object spring embedded embedded relate browse demonstrating find attached,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,documents bug max matching elements link nearquery geonear query pageable object myobject match type nearquery geo distance method document distance location dbobject template findbytypeandlocationnear mongotemplate info todbobject log geo maxdistance,org.springframework.data.mongodb.core.MongoOperations
