Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,bug element currentelement elementinfo xls info error files issue endelement namespaces big current parsing stored caused occurs solve,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception mapping field mappingexception bug dbref excluding test children operations parentclass findone java parent parentclass parent field parentfield criteria lang query fields mongooperations integer simple find attached mongo exclude,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,bug document alias typealias type classes property mapping converter configuration creation mongo abstractmongoconfiguration aftermappingmongoconvertercreation converter annotations annotation modifications annotate writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,exception criteria bug reduce mapreduce map geo creating box argument illegal mongo location mongodb upperright geocommand lowerleft illegalargumentexception geo org mongodb collection data query command springframework core upper left serialize,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo problem mongotemplate bug data lazy loading parent entity child string parent document child mongo database load mongotemplate simple setters situation accident getchild getid criteria findone dbref assertnull,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,bug persistant allocation object mypersistantobject allocation test converter mongotemplate code update query mongo customconversions custom conversion string pojo purposes assertthat allocated enum getcode enum converters code decimal writer document workaround,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug catalog product abstractproduct spring list code dbbug data agustisanchez wrapper springdatamongodbbug productwrapper mongo attribute samples github books defining wrapped book https,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,bug query getmappedobject object collection string field mapped list callback note java mongotemplate getters mongo entityclass setters status entity preparer objectcallback dbobjectcallback resolution dbobject cursorpreparer cursor dofind disp object preparer,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug bug datamongo embeddedobject query jira collection method repository test list project foo findbyembeddedin https object spring embedded embedded relate browse find attached demonstrating,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,bug link nearquery geonear geo query object myobject type georesults nearquery pageable distance max match maxdistance point nearquery geo distance method findbytypeandlocationnear dbobject type todbobject mongotemplate location template info document,org.springframework.data.mongodb.core.MongoOperations
