Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
METHOD,math,MATH-358,2010-03-24T17:25:37.000-05:00,,integrator integration range bug ode exception integrator derivative derivativeexception derivatives code cases ydot integratorexception computederivatives size firstorderdifferentialequations finalt dimension event order dot event getdimension dormandprince assertequals prince fact test lead,"org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator:integrate(FirstOrderDifferentialEquations, double, double[], double, double[])
org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator:integrate(FirstOrderDifferentialEquations, double, double[], double, double[])"
METHOD,math,MATH-1021,2013-08-10T00:00:22.000-05:00,,hypergeometricdistribution distribution hypergeometric integer sample bug overflow suffers getpopulationsize prints getnumberofsuccesses math number getsamplesize commons distribution population application printf port sample string getnumericalmean system getsupportupperbound code values successes getsupportlowerbound upper,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean()
CLASS,hibernate-3.5.0b2,HHH-4617,2009-11-28T11:42:08.000-06:00,,Bug materialized blobs Postgresql error Lob entity property annotated entity Lob lazy fetch type read OID bytes read OID oid type oid read column application write bytea create oid column oids deal PostgreSQL Bug materialized blobs Postgresql error set test blob factory dialect proxy primitive major,"org.hibernate.type.CharacterArrayClobType
org.hibernate.type.MaterializedClobType
org.hibernate.type.PrimitiveCharacterArrayClobType
org.hibernate.type.WrappedMaterializedBlobType
org.hibernate.type.MaterializedBlobType
org.hibernate.test.lob.MaterializedBlobTest
org.hibernate.type.BlobType
org.hibernate.type.ClobType
org.hibernate.test.lob.ClobLocatorTest
org.hibernate.dialect.Dialect
org.hibernate.cfg.annotations.SimpleValueBinder
org.hibernate.dialect.PostgreSQLDialect
org.hibernate.Hibernate"
FILE,DATACMNS,DATACMNS-114,2011-12-19T03:21:41.000-06:00,,custom implementation bug wrong detected automatically contract server prefix anothercontractrepositorycustom contract link suffix type contractrepositoryimpl implementation custom definition parser repository wildcard linux config detectcustomimplementation anothercontractrepository wire abstractrepositoryconfigdefinitionparser impl contractrepositoryimpl anothercontractrepositoryimpl,org.springframework.data.repository.config.AbstractRepositoryConfigDefinitionParser
FILE,DATACMNS,DATACMNS-233,2012-09-14T07:38:12.000-05:00,,strings converter domain bug domainclassconverter sources empty gracefully manytoone class blocker references mycomp issue org persistence property lang domain web validation javax notice customer customer post binding string java type,"org.springframework.data.repository.support.DomainClassConverterUnitTests
org.springframework.data.repository.support.DomainClassConverter"
CLASS,derby-10.9.1.0,DERBY-3024,2007-08-23T05:24:31.000-05:00,,bug validation plans scalability hurts shared test work append plan baseactivation validity time throughput uptodate share statement prepared comment cpu checkstatementvalidity scale preparedstatement synchronization genericpreparedstatement machine activation base values check,"java.engine.org.apache.derby.impl.store.access.heap.HeapConglomerateFactory
java.engine.org.apache.derby.impl.store.raw.data.FileContainer
java.engine.org.apache.derby.impl.store.raw.data.RAFContainer
java.testing.org.apache.derbyTesting.functionTests.tests.lang.DBInJarTest
java.engine.org.apache.derby.impl.store.raw.data.TempRAFContainer
java.engine.org.apache.derby.impl.store.raw.data.InputStreamContainer
java.engine.org.apache.derby.impl.store.access.btree.index.B2IFactory"
CLASS,derby-10.9.1.0,DERBY-6053,2013-01-25T09:02:53.000-06:00,,statement isolation transaction client set connection bug settransactionisolation prepared regular server network network exception statement networkserver sqlexception server start ping system control java retries read reply sql info customer sql,java.client.org.apache.derby.client.am.Connection
METHOD,time,88,2013-11-25T19:15:46.000-06:00,,bug partials invalid constructing hour hourofday time datetimefieldtype field type day objects isequal cases year constructor types construct equal clockhour clockhourofday array field java partials work partial merging duplicate call,"org.joda.time.Partial:with(DateTimeFieldType, int)"
FILE,COMPRESS,COMPRESS-273,2014-04-11T04:13:32.000-05:00,,nullpointerexception exception pointer fields creation entries bug scratch null org archivers apache argument cases couple types instance test constructors issue zipshort field getlocalfiledatalength local unicode zip data extra commons length,"org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry
org.apache.commons.compress.archivers.zip.ExtraFieldUtils
org.apache.commons.compress.archivers.zip.UnrecognizedExtraField"
CLASS,zookeeper-3.4.5,ZOOKEEPER-1781,2013-10-03T20:19:27.000-05:00,,bug snapcount zoo count keeper server snap zookeeper set fails rand source restriction nextint time randroll documentation snapshot roll code validation suppose mention add,src.java.main.org.apache.zookeeper.server.ZooKeeperServer
