Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,lucene-4.0,LUCENE-4461,2012-10-05T10:21:38.000-05:00,,facet request facetrequest bug path multiple inconsistent creates params author categorypath countfacetrequest addfacetrequest category count facetsearchparams path facetsearchparams facet wrong add search create,org.apache.lucene.facet.search.StandardFacetsAccumulator
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,ToXMLContentHandler ElementInfo getPrefix Prefix Element Handler Info XMLContent Bug     StackOverflow error in org apache tika sax ToXMLContentHandler ElementInfo getPrefix ToXMLContentHandler java,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,Bug Process loops infinitely parsing CHM file code code stick parsing Bug Process loops infinitely parsing CHM file set block chm data content tree unmarshal length,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
FILE,DATAMONGO,DATAMONGO-1394,2016-03-09T10:36:46.000-06:00,,querydsl query dsl bug references handled correctly library library string dbref book findall bookrepository book list list items exp empty expression qbook luck libraryrepository findbylibraryid booleanexpression findbyid repository expected find,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer
org.springframework.data.mongodb.repository.support.QuerydslRepositorySupportTests"
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception mapping field mappingexception bug dbref excluding test operations parentclass findone parent parentclass parent field children parentfield criteria query mongooperations fields simple exclude mongo find attach,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug associations work collection conversion values doesn property property scenario findbypropertyin dbref repository entity entityrepository findbyproperty find,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type bug abstractmongoconfiguration typealias configuration alias mongo annotation abstract document property modifications write,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,bug exception access authentication multithreaded mongo documentdao dao mongooperations objects thread operations maxpool bunch insert mongodb document test threadpoolexecutor pool executor inserts minpool runnable runnable perform add set call implement,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,criteria exception bug reduce mapreduce map geo creating location box upperright lowerleft collection illegalargumentexception mongodb mongo box illegal argument query upper left,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref mongo mongotemplate problem bug data lazy loading parent child string parent database load entity document mongo child mongotemplate setters reference assertnull criteria findone getid getchild dbref call setname,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,converter custom implementation bug updates persistant object allocation allocation mypersistantobject test string mongotemplate assertthat code allocated getcode mongo query document custom decimal writer code reader update pojo exception scenarios argument,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types associations indexes bug involving missing list catalog wrapper product productwrapper abstractproduct book define,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1290,2015-09-17T15:30:23.000-05:00,,bug work parameter query annotation data test sampledate project domain sample findbysampledatewithannotation findbysampledata sampledata sample object sampledomainobject annotation optional find,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-1288,2015-09-16T23:51:16.000-05:00,,update method string bug atomicinteger number work integer atomic fails core org mongodb query springframework data pass,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.MongoConverters
org.springframework.data.mongodb.core.convert.CustomConversions"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested field query bug fields keywords mapper combination field querying callback collection string query note entityclass dofind document getters setters disp preparer list mappedquery status objectcallback object cursor mongotemplate entity,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug query collection property objects embedded remove test object embeddedobject bug collection findbyembeddedin foo list project embedded attach find demonstrate,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,geonear documents geo bug max elements matching returns near nearquery query geo object myobject type distance query point maxdistance type link distance location mongo findbytypeandlocationnear georesults dbobject info todbobject template,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,repository query pageable bug keyword findbyinid find returning correctly string assertequals types item gettotalelements ids type item items itemrepository elements list test sword mongo findbytypein allids collection gettotalpages items findbyidin,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1068,2014-10-08T19:43:32.000-05:00,,criteria elemmatch elem match bug cirteria special build fails gte lte room string documents range list start fall occupied fetch,"org.springframework.data.mongodb.core.query.CriteriaTests
org.springframework.data.mongodb.core.query.Criteria"
FILE,DATAMONGO,DATAMONGO-952,2014-06-10T22:45:47.000-05:00,,query annotation field restrictions bug work fields query user limit findbyemail string queries email define email find fetched based,org.springframework.data.mongodb.repository.query.PartTreeMongoQuery
FILE,DATAMONGO,DATAMONGO-1202,2015-04-14T02:36:40.000-05:00,,bug generics annotation problems indexed github customers scenarios customer kinds project genericcustomer base provide create fail creating,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreator
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreatorIntegrationTests
org.springframework.data.mongodb.core.index.IndexResolver"
FILE,DATAMONGO,DATAMONGO-702,2013-06-20T00:12:30.000-05:00,,spring mongodb data mongo search pojo bug java projection respective configured properly field template mongotemplate model java field pojo query parameter mongo fields annotate annotation property declare define une,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-721,2013-07-11T11:36:06.000-05:00,,attribute operations type bug polymorphic update persisted template code query document list parent childclass query updatefirst mongo document parentclass update child child push mongotemplate mongo list mongotemplate instantiation entity face,org.springframework.data.mongodb.core.convert.QueryMapper
FILE,DATAMONGO,DATAMONGO-467,2012-06-24T08:58:49.000-05:00,,string field bug dsl query objectid querydsl object path mapped query definition aea entity quser document,org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializerUnitTests
FILE,DATAMONGO,DATAMONGO-629,2013-03-22T04:08:25.000-05:00,,Bug count find criteria field Query query zzz count test query zzz find count query Bug count find criteria field collection mongo query function group key callback object,"org.springframework.data.mongodb.core.mapping.MongoMappingContext
org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-571,2012-11-09T08:00:10.000-06:00,,spring mongodb data version mongo domain bug values doesn save instances crud crudrepository findone repository scenario mongodb field load method set instance database doesnt loaded find write,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.query.Update"
FILE,DATAMONGO,DATAMONGO-602,2013-01-30T02:22:53.000-06:00,,bug integer type big biginteger field querying returns profile profile document ids profileids query list predicate list findprofileids repository profiledocument profiledocument findall qprofile documents item qprofiledocument profiles find iterable profilerepository,org.springframework.data.mongodb.core.MongoTemplateTests
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,method query order orderby field bug field annotation ignores alias question questionid question desc annotate sort approach object call list answer score findbyquestionidorderbyscoredesc score string create find,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
