Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug spring dbbug data product springdatamongodbbug mongo abstractproduct productwrapper wrapper agustisanchez catalog declaration code list samples book github type attribute https define infer,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,bug translateexceptionifpossible translator exceptiontranslator translator exception exception original translate,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug object query embeddedobject collection bug datamongo findbyembeddedin jira list foo property spring https embedded relate find embedded browse,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,bug nearquery geonear geo query object myobject georesults nearquery type nearquery distance max documents maxdistance method match link point pageable document distance mongo findbytypeandlocationnear mongotemplate type dbobject todbobject location template,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item ids assertequals type item repository itemrepository items gettotalelements list types test elements sword mongo findbytypein collection allids gettotalpages items itemrepository findbyidin type tostring content classrunner runner spring,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-663,2013-04-24T03:21:19.000-05:00,,method bug equals spec field fieldspec field unit equal fields testing fieldsequal implement,org.springframework.data.mongodb.core.query.Field
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,bug answer question questionid score desc score order findbyquestionidorderbyscoredesc question sort field list string field find,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-423,2012-03-29T06:03:26.000-05:00,,regex pattern bug util java dbobject basicdbobject type basic insensitive bson find compile complain,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.query.QueryTests
org.springframework.data.mongodb.core.query.Criteria"
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,bug info type upgrade custom converter work mappingmongoconverter mongo converttomongotype recursively runtime mapping dbobject type comment writeinternal call internal addcustomtypeifnecessary convert write save add remove infer removetypeinforecursively,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,derby-10.7.1.1,DERBY-4654,2010-05-12T05:27:40.000-05:00,,bug tosql names doublequote util query normaltodelimited idutil vti sql restriction quote derby restriction database apache org problems normal proper external delimited quoting generate,"org.apache.derbyTesting.functionTests.tests.lang.RestrictedVTITest
org.apache.derby.vti.Restriction"
CLASS,zookeeper-3.4.5,ZOOKEEPER-1781,2013-10-03T20:19:27.000-05:00,,bug documentation validation nextint snapshot count randroll source time rand snapcount restriction code roll suppose snap add mention,src.java.main.org.apache.zookeeper.server.ZooKeeperServer
METHOD,apache-nutch-1.8,NUTCH-1262,2012-01-31T03:15:33.000-06:00,,Bug duplicate content types single type code code provide mapping file conf Bug duplicate content types single type content set parse test list authentication nested white,"org.apache.nutch.indexer.more.MoreIndexingFilter:getConf()
org.apache.nutch.indexer.more.MoreIndexingFilter:setConf(Configuration)
org.apache.nutch.indexer.more.MoreIndexingFilter:filter(NutchDocument, Parse, Text, CrawlDatum, Inlinks)"
METHOD,eclipse-2.0,31779,2003-02-13T09:55:00.000-06:00,,Bug ensure resources getStat natives reveal bugs Bug ensure resources remote set folder java resource feature log window,"org.eclipse.core.internal.localstore.UnifiedTree:addChildrenFromFileSystem(UnifiedTreeNode, String, Object[], int)
org.eclipse.core.internal.localstore.UnifiedTree:createChildNodeFromFileSystem(UnifiedTreeNode, String, String)"
CLASS,jedit-4.3,1999448,2008-08-23T10:28:24.000-05:00,,Bug test patch avoid black hole bugs apply patch expand folds Bug set key action chunk event indent update focus,"org.gjt.sp.jedit.textarea.BufferHandler
org.gjt.sp.jedit.textarea.DisplayManager
org.gjt.sp.jedit.textarea.TextArea"
CLASS,lucene-4.0,LUCENE-4671,2013-01-09T12:32:07.000-06:00,,bug charsref start indexoutofboundsexception sequence check length exception code charsequence subsequence bounds specs charsref real chars offset note meet override chars,org.apache.lucene.util.TestCharsRef
FILE,SWARM,SWARM-863,2016-11-30T14:54:40.000-06:00,,bug wfs version testing swarm binaries start windows services seelenvirtuose response swarm procrun task http threads download work shutdown result mwa attempt bin project process container mirror commons fractions github,org.wildfly.swarm.container.runtime.ServerBootstrapImpl
FILE,eclipse-3.1,86000,2005-02-21T14:47:00.000-06:00,,bug string image dir test loader files ibm org eclipse imageloader loader filein fileout image swt swtexception image print printstacktrace trace jpeg stack imageloadertest test graphics swt images jpg args,"org.eclipse.ui.internal.WorkbenchIntroManager
org.eclipse.swt.internal.image.JPEGFileFormat"
FILE,eclipse-3.1,96489,2005-05-24T14:40:00.000-05:00,,bug view ipage view area ipagelayout addstandaloneview browserapp layout standalone app editor browser layout browser border build add,"org.eclipse.ui.presentations.WorkbenchPresentationFactory
org.eclipse.ui.internal.presentations.defaultpresentation.EmptyTabFolder"
FILE,eclipse-3.1,98740,2005-06-07T13:25:00.000-05:00,,bug project members project description resources resourcesplugin getworkspace constants manager icoreconstants isset plugin info container org eclipse progress projects iproject icore temp nullprogressmonitor eclipse description load method nls refreshmanager loadprojectdescription,"org.eclipse.core.internal.resources.Container
org.eclipse.core.internal.resources.Resource"
CLASS,openjpa-2.2.0,OPENJPA-2163,2012-03-27T15:56:55.000-05:00,,bug manager listener createentitymanager lifecycle entity factory behavior spi mylifecyclelistener addlifecyclelistener openjpaentitymanagerspi entitymanager jpaentity register open create expected add,"openjpa-kernel.src.main.java.org.apache.openjpa.conf.OpenJPAConfigurationImpl
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.validation.TestValidationMode"
CLASS,openjpa-2.2.0,OPENJPA-2197,2012-05-16T17:10:22.000-05:00,,parameters bug compare updatechangelog methods preupdate log baseentity changelogentry entry base pre object entity change update entity cle update,openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.callbacks.ListenerImpl
CLASS,openjpa-2.2.0,OPENJPA-2255,2012-08-30T20:15:52.000-05:00,,bug referencedcolumnname collection map length entity student table cname jointable column sname joincolumns joincolumn manytomany inversejoincolumns columns join getcourses student courses string nullable inverse assign join define referenced set,openjpa-jdbc.src.main.java.org.apache.openjpa.jdbc.meta.MappingInfo
FILE,swt-3.1,102794,2005-07-05T17:56:00.000-05:00,,bug swt layout layout editor columns text makecolumnsequalwidth box data equal shell width box label bits display textbox string grid textboxdata labeldata args setlayoutdata scroll composite isdisposed readanddispatch settext dispatch,org.eclipse.swt.layout.GridLayout
FILE,swt-3.1,104545,2005-07-20T14:21:00.000-05:00,,Bug WIDTH HEIGHT change constants Widget java change constants smaller tests tests bug cool bar items occur bug RCP application start RCP application open perspective Bug set lorg selection color image release bar transparency,org.eclipse.swt.widgets.CoolBar
FILE,swt-3.1,81264,2004-12-15T13:17:00.000-06:00,,bug table settopindex table shell display gettopindex loads isdisposed swt process sleep call readanddispatch tableitem bounds dispatch testcase bar top system item track windows viewer move scroll set settext position,"org.eclipse.swt.widgets.Tree
org.eclipse.swt.widgets.List
org.eclipse.swt.widgets.Table"
FILE,swt-3.1,86000,2005-02-21T14:47:00.000-06:00,,bug string image dir test loader files ibm org eclipse imageloader loader filein fileout image swt swtexception image print printstacktrace trace jpeg stack imageloadertest test graphics swt images jpg args,org.eclipse.swt.internal.image.JPEGFileFormat
FILE,swt-3.1,87460,2005-03-08T21:22:00.000-06:00,,bug text font shell style styles display eclipse org swt caret layout range swt event standard font normal isdisposed styledtext gettext widget readanddispatch length settext location string style bold linestyleevent,org.eclipse.swt.custom.StyledText
FILE,AMQP,AMQP-633,2016-08-18T15:48:45.000-05:00,,bug holder factory transaction resourcefactory resource resourceholder local synchronization resource issynchedlocaltransactionallowed transactionsynchronizationmanager synched getresource connectionfactory connection message channel getchannel rabbit allowed manager rabbitresourceholder channel inbound reject publish,"org.springframework.amqp.rabbit.listener.LocallyTransactedTests
org.springframework.amqp.rabbit.core.RabbitTemplate"
FILE,DATACMNS,DATACMNS-114,2011-12-19T03:21:41.000-06:00,,bug contract prefix contract start link type wildcard definition custom config implementation contractrepositoryimpl detectcustomimplementation parser impl repository application linux anothercontractrepositoryimpl abstractrepositoryconfigdefinitionparser bean context getimplementationclassname contractrepository server myproject scan applying find,org.springframework.data.repository.config.AbstractRepositoryConfigDefinitionParser
FILE,DATACMNS,DATACMNS-233,2012-09-14T07:38:12.000-05:00,,strings sources bug empty references mycomp issue org customer notnull binding string type notice manytoone validation java domain lang javax persistence web property domain blocker constraints automatic optional complete relate,"org.springframework.data.repository.support.DomainClassConverterUnitTests
org.springframework.data.repository.support.DomainClassConverter"
CLASS,derby-10.9.1.0,DERBY-3024,2007-08-23T05:24:31.000-05:00,,bug baseactivation plan validity uptodate time throughput statement prepared share cpu checkstatementvalidity work preparedstatement synchronization genericpreparedstatement machine activation base test increase blocks check clients lot values multi small scalability enter,"java.engine.org.apache.derby.impl.store.access.heap.HeapConglomerateFactory
java.engine.org.apache.derby.impl.store.raw.data.FileContainer
java.engine.org.apache.derby.impl.store.raw.data.RAFContainer
java.testing.org.apache.derbyTesting.functionTests.tests.lang.DBInJarTest
java.engine.org.apache.derby.impl.store.raw.data.TempRAFContainer
java.engine.org.apache.derby.impl.store.raw.data.InputStreamContainer
java.engine.org.apache.derby.impl.store.access.btree.index.B2IFactory"
CLASS,derby-10.9.1.0,DERBY-5251,2011-05-29T04:27:15.000-05:00,,bug code error locale test errorcodetest english pass tests apache test tests accessor org derby method derbytesting delegating sun errorcode delegatingmethodaccessorimpl impl functiontests delegatingmethodacce function lang testing invoke reflect,java.testing.org.apache.derbyTesting.functionTests.tests.lang.ErrorCodeTest
CLASS,derby-10.9.1.0,DERBY-6053,2013-01-25T09:02:53.000-06:00,,isolation transaction set connection statement settransactionisolation bug prepared regular network server network exception statement networkserver sqlexception system server start ping retries control java read reply info sql sql customer shutdown,java.client.org.apache.derby.client.am.Connection
METHOD,time,88,2013-11-25T19:15:46.000-06:00,,bug hour hourofday datetimefieldtype field day objects types year time clockhourofday construct clockhour constructor array equal isequal field java type partials partial merging duplicate call invoke calling matching merge types,"org.joda.time.Partial:with(DateTimeFieldType, int)"
FILE,COMPRESS,COMPRESS-245,2013-12-05T11:01:39.000-06:00,,bug tar fin stream gin input entry tin tool archive version tar file gzipinput file extract exampletar tararchiveinputstream getnexttarentry gzipinputstream fileinputstream entry tararchiveentry create happen,"org.apache.commons.compress.archivers.tar.TarArchiveInputStream
org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest"
