Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,lucene-4.0,LUCENE-4461,2012-10-05T10:21:38.000-05:00,,bug create inconsistent facet params author talk hashcode categorypath category countfacetrequest request addfacetrequest count facetsearchparams path requests test facetsearchparams facet add wrong equal search define,org.apache.lucene.facet.search.StandardFacetsAccumulator
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,bug element files issue stack xls stackoverflowerror endelement flow element currentelement time currentelement elment finish error start info elementinfo parents parent namespaces big current traverse existing solve store parse,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query exception mapping field mappingexception bug dbref exclude operations test parentclass java findone parent parentclass parent field fields parentfield children criteria lang query mongooperations integer find simple attach mongo include,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,bug abstractmongoconfiguration configuration mongo abstract annotations type classes document property typealias simple simpletypeinformationmapper alias mapper modifications annotate write,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,criteria bug reduce mapreduce map geo create location org upperright exception command lowerleft illegalargumentexception query mongodb geocommand mongo illegal argument box box geo mongodb collection springframework data core upper left,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template bug mongo mongotemplate problem data lazy loading parent child child parent string database load entity document mongo test project mongotemplate accident setters call reference lot assertnull criteria findone getid,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,bug updates allocation object persistant allocation mypersistantobject string code test mongotemplate query assertthat mongo conversion decimal big allocated getcode custom template scenarios writer reader code register clone update converter object,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug github https code data catalog indexes wrapper type books list catalog agustisanchez content types startup definition spring time dbbug wrapper data productwrapper product abstractproduct infromation samples book springdatamongodbbug mongo,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,fields nest field keywords field bug combination nested string query collection getmappedobject note entityclass resolve dofind document callback disp data setters list getters mappedquery mongotemplate resolution cursor preparer java collectionname,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,property collection bug remove query object test embeddedobject collection datamongo foo jira query project list spring findbyembeddedin bug https embedded incorrect embedded find generate attach demonstrate relate browse,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,documents bug max elements matching nearquery geonear query object myobject result nearquery type link document method match distance query template mongotemplate pageable distance location findbytypeandlocationnear info dbobject todbobject log myobjecttype,org.springframework.data.mongodb.core.MongoOperations
