Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,Bug process loops parsing parse CHM file code code stick parsing Bug process loops parsing parse CHM file set chm block data client tree lzx converter,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,query field exception mapping mappingexception bug dbref exclude operations parentclass findone parent parentclass parent field children parentfield test criteria query mongooperations fields mongo find,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,collection work bug values property property dbref findbyproperty array repository entity findbypropertyin entityrepository treat create translate find,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,bug abstractmongoconfiguration mongo configuration abstract document type typealias property simple alias simpletypeinformationmapper mapper modifications write,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,Bug exception authentication Runnable Bug exception authentication mongo mapping bean database parse singleton write set,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,criteria bug reduce mapreduce map geo create location upperright exception lowerleft box illegalargumentexception mongodb box mongo collection illegal argument query upper left,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-969,2014-06-26T16:28:13.000-05:00,,dsl bug querydsl query collection repository quser string user collection userrepository user list arraylist array findall clause document empty iterable translate find add abcdef,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializerUnitTests
org.springframework.data.mongodb.repository.AbstractPersonRepositoryIntegrationTests
org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template bug mongo mongotemplate problem data lazy loading parent parent string child child mongo document assertnull test mongotemplate setters project getchild database load getid entity criteria findone dbref junit setname,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,bug updates persistant allocation object mypersistantobject allocation string decimal converter big mongotemplate assertthat test code allocated getcode mongo query bigdecimal reader writer code update argument exception conversion converter conversions customer,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug types involve indexes startup catalog definition wrapper time type books catalog content wrapper productwrapper spring abstractproduct infromation data book product mongo inherit missing define infer create result,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,user bug runtime exceptions convert npes defined exception translator translateexceptionifpossible exceptiontranslator exception pointer encounter code translate unknown result,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1288,2015-09-16T23:51:16.000-05:00,,bug atomicinteger work integer atomic update core string number org number pass mongodb springframework query parameter data,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.MongoConverters
org.springframework.data.mongodb.core.convert.CustomConversions"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,fields nest field keywords bug field combination nested callback query string collection entityclass resolve status entity objectcallback dbobjectcallback object data setters mappedquery mapped preparer getters list object query dofind cursorpreparer,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug collection property remove query embeddedobject collection findbyembeddedin foo list query object incorrect embedded embedded find generate,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,documents bug max elements matching nearquery query object myobject result link type template mongotemplate distance location distance geo geonear findbytypeandlocationnear mongo info nearquery dbobject todbobject myobjecttype log georesults maxdistance geo,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug query keyword findbyinid pageable find string item assertequals ids type item repository types items itemrepository list test sword mongo findbytypein allids collection elements gettotalelements itemrepository findbyidin type tostring content,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1133,2015-01-07T00:20:51.000-06:00,,Bug honor field aliasing Aggregation operations Field property designate Field Bug honor field aliasing Aggregation operations operation render expression fields group field changed unknown,"org.springframework.data.mongodb.core.aggregation.TypeBasedAggregationOperationContextUnitTests
org.springframework.data.mongodb.core.aggregation.AggregationTests"
FILE,DATAMONGO,DATAMONGO-1068,2014-10-08T19:43:32.000-05:00,,bug cirteria special build criteria elemmatch elem gte string lte match key map list start room empty invoke invoking occupied assign,"org.springframework.data.mongodb.core.query.CriteriaTests
org.springframework.data.mongodb.core.query.Criteria"
FILE,DATAMONGO,DATAMONGO-1078,2014-10-28T02:23:26.000-05:00,,map complex structure bug myuserid sampleid userids userid sample findbyuserids list collection user object query user ids find sampleuser convert,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1050,2014-09-09T03:41:12.000-05:00,,documents bug ids nested innerdocs docs string data constructor list noargsconstructor args mongo stored,"org.springframework.data.mongodb.core.mapping.BasicMongoPersistentProperty
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
org.springframework.data.mongodb.core.mapping.BasicMongoPersistentPropertyUnitTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-952,2014-06-10T22:45:47.000-05:00,,restrictions bug work field user fields query query limit findbyemail string annotation queries email define email find fetched based,org.springframework.data.mongodb.repository.query.PartTreeMongoQuery
