Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,collection work bug values dbref property property entity converting findbyproperty scenario convertingiterator instances array findbypropertyin repository dbrefs iterator execution elements entityrepository reason unwrap fail create treats translated find convert correctly,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template dbref problem mongotemplate mongo bug data lazy loading entity parent parent string child child test junit mongo attribute setters situation assertnull mongotemplate criteria document accident getchild database load simple,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types bug involve type indexes spring content product abstractproduct productwrapper catalog wrapper data startup mongo list list association books time code book catalog isbn definition declaration https wrapper array book,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested field fields field query mapper keywords combination bug querying query string resolution elem batchid getmappedobject stat status elemmatch mapped object batch callback list list dbobject collection mongo setters disp,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,query property collection bug objects embedded remove bug embeddedobject findbyembeddedin datamongo object foo jira list collection query demo project repository https test spring method incorrect embedded demonstrating generates find attached,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,max geonear documents geo bug elements matching returns query near distance nearquery myobject object distance method returns aloha mongo type nearquery log todbobject geo dbobject myobjecttype template mongotemplate info georesults,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,query pageable bug keyword findbyinid find string types item assertequals ids type item repository items itemrepository list test sword mongo findbytypein allids collection gettotalelements elements itemrepository findbyidin type strip testing,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1078,2014-10-28T02:23:26.000-05:00,,query query complex repository map structure bug annotated fails type user user myuserid string stringbasedmongoquery check key presence mongo userids object findbyuserids sampleid collection userid list sample restrictions typekey properties,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1289,2015-09-17T11:43:51.000-05:00,,field object pointer nullpointerexception bug exception annotation saving null test versions property driver documentation java doesn file newer expect implicit working changed generated mapped annotated save attempting,"org.springframework.data.mongodb.repository.support.MongoRepositoryFactory
org.springframework.data.mongodb.repository.support.MappingMongoEntityInformation"
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,query field field order method orderby bug annotation ignores alias question questionid desc score database object score answer sort findbyquestionidorderbyscoredesc list string approach question annotated find called attempts created,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
