Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1014,2012-10-30T01:01:31.000-05:00,,custom reader mimetypesreader mime types bug behavior support fields current great subclassing,"tika-core.src.main.java.org.apache.tika.mime.MimeTypesReader.ClauseRecord
tika-core.src.test.java.org.apache.tika.TikaIT"
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,,Bug problem send entire document metadata detect mediatype bytes send server mediatype Bug set block table content data tree node character,tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1074,2013-02-04T08:53:40.000-06:00,,Bug Extraction exception hit visiting embedded document issue problematic document document corrupt POI bug caused exception visiting embedded documents change Tika suppress exception document extracts fine robust log exception save record exception parsing app decide Bug Extraction exception hit visiting embedded document embedded tika table parser content picture node character,"tika-app.src.main.java.org.apache.tika.cli.TikaCLI
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.SummaryExtractor
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.AbstractPOIFSExtractor"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug dbref dbrefs findbyproperty converting collection instances convertingiterator array execution property iterator reason elements fail unwrap treats create translated find convert correctly,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,bug getchild problem mongotemplate attribute test project junit mongo child situation assertnull child parent template persisted reproduces fails expected save attached happen,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug type indexes catalog product productwrapper startup spring data content mongo association wrapper time book catalog isbn definition types list wrapper books declaration mongodb book abstractproduct infromation documents books list,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1290,2015-09-17T15:30:23.000-05:00,,Bug Query annotation parameter work repository finders equivalent works Bug Query annotation parameter work parameter update mongo property type key field query,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,bug mongo exception code user persistence template translation mongoexceptiontranslator mongotemplate provider translator pointer translator encounters places exception original unknown occur eats,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested fields field field keywords mapper query bug combination querying resolution status query mongo dbobject arrays notice annotations mapped getmappedobject doesn list queries data object annotation input stat peristed fail,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,Bug Query remove property collection embedded objects generates incorrect query Query property Bug Query remove property collection embedded objects nested type update correctly field write mapper model,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,Bug geoNear matching elements returns max documents expect matching documents set restricts result Bug geoNear matching elements returns max documents text query sort mongo operation entity execution parameter,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug elements gettotalelements assertequals items swords query returns gettotalpages total total expect returning returned equals,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1133,2015-01-07T00:20:51.000-06:00,,Bug aggretation property designated Field Bug set person ssn base,"org.springframework.data.mongodb.core.aggregation.TypeBasedAggregationOperationContextUnitTests
org.springframework.data.mongodb.core.aggregation.AggregationTests"
FILE,DATAMONGO,DATAMONGO-1078,2014-10-28T02:23:26.000-05:00,,query query complex repository map structure bug annotated fails type string stringbasedmongoquery check key mongo presence object restrictions typekey properties mongo including based converts converting converted,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1232,2015-06-03T10:27:23.000-05:00,,ignorecase bug escape queries ignore case regex query mail sort generator address string mongodb attack subject mongo characters character injection special insensitive legal sign perform interprets find passes slaps properly,"org.springframework.data.mongodb.repository.query.MongoQueryCreator
org.springframework.data.mongodb.repository.query.MongoQueryCreatorUnitTests"
FILE,DATAMONGO,DATAMONGO-1236,2015-06-08T11:17:11.000-05:00,,map mongooperations bug updatefirst values mongo findandmodify operations find include update modify first and linkedhashmap hash linked type object string map field data correct leaving convert reads saved updated,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1289,2015-09-17T11:43:51.000-05:00,,field object nullpointerexception pointer bug exception annotation saving null file driver property java doesn implicit mapped annotated generated attempting save,"org.springframework.data.mongodb.repository.support.MongoRepositoryFactory
org.springframework.data.mongodb.repository.support.MappingMongoEntityInformation"
FILE,DATAMONGO,DATAMONGO-663,2013-04-24T03:21:19.000-05:00,,Bug org springframework data mongodb core query Field equals method Field equals method org springframework data mongodb core query Query equals method equals method Field Bug org springframework data mongodb core query Field equals method mongo query geo test field property plain parameter,org.springframework.data.mongodb.core.query.Field
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,query field field orderby method bug annotation order ignores alias sort database score attempts,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-423,2012-03-29T06:03:26.000-05:00,,Bug Criteria regex java util Pattern regex exception Bug Criteria regex java util Pattern regex query mongo find criteria path parameter lastname firstname,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.query.QueryTests
org.springframework.data.mongodb.core.query.Criteria"
FILE,DATAMONGO,DATAMONGO-420,2012-03-22T10:09:35.000-05:00,,Bug Extra quotes Query values fields Quotes values passed Query annotations pass values fields wrapped quotes inserted query MongoDB rendered valid query quotes rendered valid projection quotes valid projection quotes turn string renders undefined Bug Extra quotes Query values fields find output object type query lastname firstname address,"org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.query.StringBasedMongoQueryUnitTests"
FILE,DATAMONGO,DATAMONGO-321,2011-11-17T01:53:43.000-06:00,,Bug field type integer saved set user calling save exception field autopopulated saved string Bug field type integer saved set user calling save exception field autopopulated set persistent type object mongo portfolio property create,"org.springframework.data.mongodb.core.convert.AbstractMongoConverter
org.springframework.data.mongodb.core.QueryMapper
org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
org.springframework.data.mongodb.core.query.QueryMapperUnitTests
org.springframework.data.mongodb.core.convert.CustomConversions"
FILE,DATAMONGO,DATAMONGO-322,2011-11-17T01:56:47.000-06:00,,field type pojo object biginteger bug objectid operation big integer exception string save findbyid returns find,"org.springframework.data.mongodb.repository.support.MongoRepositoryFactory
org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryUnitTests
org.springframework.data.mongodb.core.mapping.MongoSimpleTypes
org.springframework.data.mongodb.core.MongoTemplateUnitTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,type object objects bug write updating updated mongo version type read addcustomtypeifnecessary info definition custom converter method mappingmongoconverter converttomongotype mapping recursively turn application java dbobject model point release data writeinternal,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,derby-10.7.1.1,DERBY-4654,2010-05-12T05:27:40.000-05:00,,restriction bug tosql doesn escape characters sql special string derby doublequote column idutil normaltodelimited names util quote vti quotes valid returned apache adds proper delimited normal quoting org,"org.apache.derbyTesting.functionTests.tests.lang.RestrictedVTITest
org.apache.derby.vti.Restriction"
CLASS,derby-10.7.1.1,DERBY-4684,2010-06-01T10:46:19.000-05:00,,bug query today specification standard sql rules derby union obey support types data type implicit casts defined implicitly,"org.apache.derby.iapi.types.SQLBoolean
org.apache.derby.impl.sql.compile.BooleanTypeCompiler"
CLASS,derby-10.7.1.1,DERBY-4786,2010-08-31T13:58:13.000-05:00,,Bug Shutdown command username password work mixed client network server releases existing shutdown command username password stopped working client DERBY network server DERBY shutdown command introduced DERBY work obviosuly client server DERBY client server DERBY attempting user password error Bug Shutdown command username password work mixed client network server releases test start server build release database connection system,org.apache.derby.impl.drda.NetworkServerControlImpl
CLASS,pig-0.11.1,PIG-2767,2012-06-25T09:11:20.000-05:00,,Bug Pig creates wrong schema dereferencing nested tuple fields schema dereferenced nested tuple DESCRIBE thinks dump data form correct schema schema incorrect reference nested tuple dereferenced statement considered invalid script fails error Bug Pig creates wrong schema dereferencing nested tuple fields schema tuple set bytes read input data field,"src.org.apache.pig.newplan.logical.expression.DereferenceExpression
test.org.apache.pig.test.TestPigServer"
CLASS,pig-0.11.1,PIG-2828,2012-07-19T05:03:16.000-05:00,,bug field bag top databag script type type typefound datatype exception data data reason judge compare generate failed,"src.org.apache.pig.data.DataType
src.org.apache.pig.builtin.TOP
test.org.apache.pig.test.TestNull"
CLASS,pig-0.11.1,PIG-3204,2013-02-21T16:09:40.000-06:00,,Bug Change script parsing parse entire script lot calls determine schema file path LOAD statement slow caused bunch issues takes lot time scripts spending mins mins depending script Bug Change script parsing parse entire script process pig plan set alias input type file,"src.org.apache.pig.PigServer
src.org.apache.pig.scripting.BoundScript
src.org.apache.pig.tools.grunt.GruntParser
test.org.apache.pig.test.TestPigServer
test.org.apache.pig.test.TestGrunt"
CLASS,pig-0.11.1,PIG-3310,2013-05-03T02:59:57.000-05:00,,miscomputations uids bug implicitsplitinserter split implicit inserter schema fields nested leading generate output code column member wrongful,src.org.apache.pig.newplan.logical.relational.LOSplitOutput
CLASS,pig-0.11.1,PIG-3424,2013-08-15T09:56:20.000-05:00,,Bug list Dudf list passed Dudf list passed adds list defined pushed list cases pig deployment predefined Dudf list resolution fully qualified defined LOAD Bug list Dudf list passed schema input set key cache plan walker field,"test.org.apache.pig.test.TestPigContext
src.org.apache.pig.impl.PigContext"
CLASS,mahout-0.8,MAHOUT-1030,2012-06-09T11:08:56.000-05:00,,weighted writable vector points weightedvectorwritable weightedpropertyvectorwritable property regression bug clustered distance centroid kmeans clusteredpoints mahout written clustered appears longer stored,"core.src.main.java.org.apache.mahout.clustering.meanshift.MeanShiftCanopyDriver
core.src.test.java.org.apache.mahout.clustering.classify.ClusterClassificationDriverTest
core.src.test.java.org.apache.mahout.clustering.topdown.postprocessor.ClusterOutputPostProcessorTest
core.src.main.java.org.apache.mahout.clustering.classify.WeightedVectorWritable
core.src.test.java.org.apache.mahout.clustering.kmeans.TestKmeansClustering
core.src.main.java.org.apache.mahout.clustering.meanshift.MeanShiftCanopyClusterMapper
core.src.main.java.org.apache.mahout.clustering.iterator.AbstractClusteringPolicy
core.src.test.java.org.apache.mahout.clustering.topdown.postprocessor.ClusterCountReaderTest
core.src.main.java.org.apache.mahout.clustering.topdown.postprocessor.ClusterOutputPostProcessor
core.src.main.java.org.apache.mahout.clustering.classify.ClusterClassificationMapper
integration.src.main.java.org.apache.mahout.utils.clustering.ClusterDumperWriter
core.src.main.java.org.apache.mahout.clustering.topdown.postprocessor.ClusterOutputPostProcessorMapper
core.src.main.java.org.apache.mahout.clustering.classify.ClusterClassificationDriver"
CLASS,mahout-0.8,MAHOUT-1314,2013-08-18T09:07:48.000-05:00,,reducer pointer nullpointerexception kmeans streamingkmeansreducer streaming kmeans exception bug set streaming reduce null centroid option reducer rskm getcentroid input trace full fails stack clone,core.src.main.java.org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansReducer
