Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1014,2012-10-30T01:01:31.000-05:00,,custom reader mimetypesreader mime types bug behavior error subclass support fields xml tags current handling,"tika-core.src.main.java.org.apache.tika.mime.MimeTypesReader.ClauseRecord
tika-core.src.test.java.org.apache.tika.TikaIT"
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,,Bug JAX server detect mediatype meta endpoint problem send entire document metadata detect mediatype mediatype order accomplish good modify meta endpoint address individual fields returned meta mediatype meta author meta lastModified parts path turned query parameter easier manipulate tools jquery sufficient data BAD REQUEST interest TIKA implement Bug set block table content data tree node character,tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1074,2013-02-04T08:53:40.000-06:00,,Bug visit embedded document Spinoff TIKA issue problematic document document corrupt POI bug caused exception visiting embedded documents change Tika suppress exception document extracts fine log exception parse app Bug visit embedded document set write visit content tika table embedded node,"tika-app.src.main.java.org.apache.tika.cli.TikaCLI
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.SummaryExtractor
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.AbstractPOIFSExtractor"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug dbref property property entity converting findbyproperty convertingiterator instances array findbypropertyin collection dbrefs repository iterator execution elements reason entityrepository unwrap fail create treats translated find convert correctly,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug type product content abstractproduct spring indexes data wrapper startup books productwrapper association mongo time declaration list catalog types attribute wrapper definition code book array catalog list isbn isbn https,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,bug mongo exception exception mongotemplate translator code user persistence translation provider translateexceptionifpossible pointer runtimeexception runtime template exceptiontranslator mongoexceptiontranslator encounters translator original unknown translate places occur eats,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,property query collection objects bug embedded remove bug embeddedobject query demo findbyembeddedin jira foo datamongo list collection spring object incorrect embedded generates https find browse,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,geonear max documents geo bug elements matching returns query near nearquery object distance myobject distance method returns mongo type nearquery template info dbobject mongotemplate todbobject location aloha findbytypeandlocationnear log geo,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug string item item ids assertequals type repository types itemrepository list test sword mongo gettotalelements findbytypein elements collection allids items itemrepository findbyidin type query gettotalpages mongorepository uuid returns classrunner runner,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1078,2014-10-28T02:23:26.000-05:00,,query query complex repository map structure bug annotated fails user presence properties user myuserid string type stringbasedmongoquery object mongo userids findbyuserids sampleid collection userid list sample restrictions mongo ids sampleuser,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
