Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1014,2012-10-30T01:01:31.000-05:00,,custom mimetypesreader reader types mime bug error handling fields tags xml current,"tika-core.src.main.java.org.apache.tika.mime.MimeTypesReader.ClauseRecord
tika-core.src.test.java.org.apache.tika.TikaIT"
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,,Bug provide JAX detect mediatype JAX server detect mediatype meta endpoint problem send entire document metadata order accomplish good modify meta endpoint address individual fields returned meta mediatype meta author meta lastModified parts path turned query parameter easier manipulate tools jquery sufficient data BAD REQUEST interest TIKA implement Bug provide JAX detect mediatype test type parser tika resource set add content,tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1074,2013-02-04T08:53:40.000-06:00,,Bug visit embedded document Spinoff TIKA issue problematic document document corrupt POI bug caused exception visiting embedded documents change Tika suppress exception document extracts fine Bug visit embedded document set write visit content tika table embedded node,"tika-app.src.main.java.org.apache.tika.cli.TikaCLI
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.SummaryExtractor
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.AbstractPOIFSExtractor"
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,ChmLzxBlock extractChmEntry extractContent ChmExtractor Chm CHMDocumentInformation getContent getText parse Content ChmParser Bug     Process loops infinitely on parsing of a CHM file,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
CLASS,tika-1.3,TIKA-1211,2013-12-17T06:49:16.000-06:00,,document open start parser startdocument opendocument odf bug events multiple produces enddocuments documents elements tika feed files bug opendocumentfiles solr startdocuments solr xml content meta output prevents parsing receives xhtml,tika-core.src.main.java.org.apache.tika.sax.XHTMLContentHandler
FILE,DATAMONGO,DATAMONGO-1394,2016-03-09T10:36:46.000-06:00,,bug querydsl library java book book service library list bookservice string bookrepository exp items list findbyid findall libraryrepository qbook expression dbref booleanexpression findbylibraryid repository expected find empty,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer
org.springframework.data.mongodb.repository.support.QuerydslRepositorySupportTests"
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,createDBRef MappingMongoConverter QueryMapper CollectionNameProvidedMongoConverter MongoTemplate convertAssociation ExcludeDBRefFieldTest getMappedObject findOne toDBRef testExcludeChildren MappingException Bug     Excluding DBRef field in a query causes a MappingException,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,collection work bug values property dbref property converting findbyproperty convertingiterator array findbypropertyin repository entityrepository dbrefs entity iterator execution reason fail create treats translated find correctly,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type typealias alias abstractmongoconfiguration configuration bug mongo annotation abstract classes document simple fine property mapping converter documentation creation converter aftermappingmongoconvertercreation annotations modifications simpletypeinformationmapper mapper annotate suggests writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,Bug Exception authentication multithreaded access Bug details http forum springsource org showthread php authenticate database Bug Exception authentication multithreaded access mongo mapping database write set exception base converter,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-1027,2014-08-16T13:49:22.000-05:00,,collection object bug complex embedded inherits books context author exception book error duplicate duplicatekey mongodb mongoexception mongo key idx dup exception server key authors app duplicate subsequent insert err add,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.Indexed
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreatorUnitTests
org.springframework.data.mongodb.core.index.CompoundIndex
org.springframework.data.mongodb.core.index.GeoSpatialIndexed"
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,criteria exception bug mapreduce map geo creating reduce box illegal argument illegalargumentexception lowerleft collection mongodb mongo lang geocommand geo org mongodb upperright data query java location core command springframework exception,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-969,2014-06-26T16:28:13.000-05:00,,string collection bug dsl query objectid querydsl object field mapped collection repository quser user userrepository user list datamongo array arraylist findall clause document empty iterable resolved translating find add abcdef,"org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializerUnitTests
org.springframework.data.mongodb.repository.AbstractPersonRepositoryIntegrationTests
org.springframework.data.mongodb.repository.support.SpringDataMongodbSerializer"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template problem bug mongo mongotemplate data lazy loading parent parent string child accident entity document assertnull junit attribute test setters getchild criteria findone mongotemplate child problems lot dbref cglib project,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,converter custom implementation updates bug allocation persistant string object code enum mypersistantobject allocation converters mongotemplate update mongo customer template document assertthat decimal test type writer reader conversions big mongo query,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types bug involve product type content abstractproduct spring indexes data startup wrapper association books productwrapper time mongo attribute definition book code wrapper catalog list array catalog isbn isbn https dbbug,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,user bug runtime exceptions convert npes defined mongo exception translator mongotemplate code template exception translateexceptionifpossible translation provider persistence runtime runtimeexception pointer exceptiontranslator mongoexceptiontranslator encounters original places translate unknown occur eats,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,nested field fields query field mapper keywords combination bug querying match batchid query status elemmatch batch stat resolution callback elem string collection disp list dbobject mappedquery dbobjectcallback list preparer object,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
