Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,,Bug provide JAX detect mediatype JAX server detect mediatype meta endpoint problem send entire document metadata modify meta endpoint address individual fields query parameter turn path query parameter BAD REQUEST interest TIKA Bug provide JAX detect mediatype test type parser tika resource set add content,tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1211,2013-12-17T06:49:16.000-06:00,,document opendocument open start odf events bug startdocument parser multiple produces documents enddocuments startdocuments files elements tika opendocumentfiles feed bug xml content output meta parse receive parsing xhtml prevents introduced,tika-core.src.main.java.org.apache.tika.sax.XHTMLContentHandler
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,exception bug query dbref mapping field mappingexception excluding java lang integer fields trace include find,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type typealias alias abstractmongoconfiguration configuration bug mongo annotation abstract classes document simple mapping property converter creation converter aftermappingmongoconvertercreation annotations modifications simpletypeinformationmapper mapper annotate writing,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-1027,2014-08-16T13:49:22.000-05:00,,Bug Collection inherits complex embedded object add book author books insert books inherits authors subsequent context restart duplicate key exception dup key Bug Collection inherits complex embedded object nested correctly object property mapper render converts set,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.Indexed
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreatorUnitTests
org.springframework.data.mongodb.core.index.CompoundIndex
org.springframework.data.mongodb.core.index.GeoSpatialIndexed"
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,exception criteria bug mapreduce map geo creating reduce collection mongo mongodb illegal box argument illegalargumentexception geocommand geo org mongodb data query command springframework core exception reads serialize,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,problem data bug template mongo mongotemplate lazy loading child assertnull test junit accident getchild project entity lot problems reproduces attached bring persisted persist fails,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,converter custom implementation updates bug enum allocation customconversions object query update type mongo call entry point application spring builder store string boot code resort customer persistant check register works object,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,types bug involve type product indexes startup content productwrapper association spring time github dbbug code definition isbn https book catalog data books book mongo agustisanchez springdatamongodbbug abstractproduct wrapper catalog wrapper,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,user bug runtime exceptions convert npes defined mongo translator code exception places exception template mongotemplate translation provider persistence pointer translateexceptionifpossible exceptiontranslator mongoexceptiontranslator encounters original unknown translate occur eats,org.springframework.data.mongodb.core.MongoTemplate
