Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,associations bug conversion work collection values doesn dbref entity scenario findbypropertyin instances repository property property elements entityrepository unwrap assume convert find,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,indexes bug types associations missing involving product abstractproduct list wrapper type code https content catalog productwrapper agustisanchez mongo attribute springdatamongodbbug spring dbbug data declaration book array isbn books github samples,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,property query collection bug objects embedded remove bug test datamongo jira findbyembeddedin list demo foo project collection repository embeddedobject https spring object method demonstrating embedded find attached browse,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,documents geonear max geo bug elements matching returns query near method distance nearquery myobject object distance returns aloha type mongo nearquery todbobject log geo dbobject template mongotemplate info myobjecttype georesults,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,repository pageable bug keyword query findbyinid find returning correctly string item assertequals item types ids type itemrepository test list mongo sword findbytypein collection allids items itemrepository findbyidin type strip testing,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1078,2014-10-28T02:23:26.000-05:00,,query query complex structure repository map bug annotated fails presence properties myuserid sampleid userids collection list user findbyuserids userid sample user ids queries convert check find sampleuser,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1289,2015-09-17T11:43:51.000-05:00,,field object pointer nullpointerexception bug exception annotation saving null test versions file map property documentation doesn newer expect working changed annotated generate attempting save,"org.springframework.data.mongodb.repository.support.MongoRepositoryFactory
org.springframework.data.mongodb.repository.support.MappingMongoEntityInformation"
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,query field field order method orderby bug annotation ignores alias question questionid desc score database object score answer sort findbyquestionidorderbyscoredesc list string approach question annotated find called attempts created,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,Bug Updating object write type objects updated complex domain model consist instantiable domain classes worked perfectly upgrade comment call order point contradiction save type DBObject removed method infer runtime Bug Updating object write type objects updated type map collection writes correctly object read reads,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
CLASS,derby-10.7.1.1,DERBY-4684,2010-06-01T10:46:19.000-05:00,,Bug Correct implicit casting types support Standard rules query implicitly data type today select isindex sys sysconglomerates conglomeratename foo union values Bug Correct implicit casting types test type column table data del based expected,"org.apache.derby.iapi.types.SQLBoolean
org.apache.derby.impl.sql.compile.BooleanTypeCompiler"
CLASS,pig-0.11.1,PIG-2828,2012-07-19T05:03:16.000-05:00,,DataType PriorityQueue compare TOP TupleComparator siftUpUsingComparator updateTop siftUp Data Type TOP Comparator NullPointerException Bug     Handle nulls in DataType compare,"src.org.apache.pig.data.DataType
src.org.apache.pig.builtin.TOP
test.org.apache.pig.test.TestNull"
CLASS,zookeeper-3.4.5,ZOOKEEPER-1619,2013-01-11T09:57:16.000-06:00,,Bug spaces URL format work code usergrid code format notice spaces comma code usergrid code add trim parsing Bug spaces URL stream invalid error test lock jersey inspector delete,src.java.main.org.apache.zookeeper.client.ConnectStringParser
CLASS,zookeeper-3.4.5,ZOOKEEPER-1781,2013-10-03T20:19:27.000-05:00,,Random nextInt SyncRequestProcessor Processor Request run Sync IllegalArgumentException Bug     ZooKeeper Server fails if snapCount is set to,src.java.main.org.apache.zookeeper.server.ZooKeeperServer
CLASS,argouml-0.22,1671,2003-02-26T02:12:06.000-06:00,,project searchpath time bug extra saved test differences diagram argouml attr copy oper doubleclicking compartment zargo load attr newattr cycle simple types todo classdiagram analysis usecase xmi usecasediagram argo files,"org.argouml.kernel.Project
org.argouml.kernel.TestProject"
CLASS,argouml-0.22,3100,2005-02-22T00:28:44.000-06:00,,Bug funny explorer adding explorer funny anon anon guess stands anonymous anonymous hours thinking cryptic description whas chosen write string Bug funny explorer file dir box action key fig classifier event,"org.argouml.uml.ui.UMLListCellRenderer2
org.argouml.ui.DisplayTextTree"
CLASS,argouml-0.22,3774,2005-12-03T06:33:15.000-06:00,,DropTarget dispatchEventImpl dispatchEvent drop Drop Target EventQueue Component Event Container dispatch CompositionCycleException Bug     Do not set namespace of Model when adding to diagram,org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel
