Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,bug element issue files stack xls parent stackoverflowerror flow currentelement element start time error elment understanding finish method parents endelement currentelement big current traverse existing store parse solves,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,,ChmLzxBlock extractChmEntry extractContent ChmExtractor Chm CHMDocumentInformation getContent getText parse Content ChmParser Bug     process loops on parsing parse of CHM file,tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,createDBRef MappingMongoConverter QueryMapper CollectionNameProvidedMongoConverter MongoTemplate convertAssociation ExcludeDBRefFieldTest getMappedObject findOne toDBRef testExcludeChildren MappingException Bug     exclude DBRef field in query cause MappingException,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-505,2012-08-14T03:07:56.000-05:00,,bug dbref property entity array findbypropertyin scenario repository property treat collection entityrepository translate create find,"org.springframework.data.mongodb.repository.query.ConvertingParameterAccessor
org.springframework.data.mongodb.repository.query.ConvertingParameterAccessorUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,bug abstractmongoconfiguration mongo configuration abstract annotations type classes document fine documentation typealias property simple alias simpletypeinformationmapper mapper modifications write annotate suggests,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-585,2012-12-01T08:28:43.000-06:00,,bug authentication exception mongo documentdao dao mongooperations objects thread showthread http database php forum bunch insert springsource operations maxpool org mongodb test authenticate document threadpoolexecutor pool executor inserts details minpool,org.springframework.data.mongodb.core.MongoDbUtils
FILE,DATAMONGO,DATAMONGO-1027,2014-08-16T13:49:22.000-05:00,,bug object complex embedded inherit server collections key key exception author duplicate idx duplicatekey book mongo list error mongoexception compound mongodb dup exception authors books app unique serverused err add,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.Indexed
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreatorUnitTests
org.springframework.data.mongodb.core.index.CompoundIndex
org.springframework.data.mongodb.core.index.GeoSpatialIndexed"
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,criteria bug mapreduce map geo create reduce query lowerleft argument illegalargumentexception illegal geocommand geo org mongodb command springframework lang box location collection mongodb exception mongo upperright box data core java,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,template mongo bug mongotemplate problem data lazy loading entity parent parent test string child cglib attribute document setters child accident project junit load mongotemplate findone criteria criteria dbref lot setname,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,updates bug persistant allocation object converters code string allocation mypersistantobject mongotemplate enum converter custom mongo conversions custom decimal query test application document assertthat template customer update enum type query mongo,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,bug type spring abstractproduct indexes product mongo code definition list attribute array catalog https wrapper content productwrapper startup data list isbn books time types dbbug data wrapper catalog springdatamongodbbug agustisanchez,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,fields nest field bug field keywords combination nested elemmatch match batchid callback resolution stat batch status getmappedobject mapped query object string collection disp elem input mappedquery dbobjectcallback list cursor template,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,bug property collection remove embeddedobject test bug findbyembeddedin object query project demo foo jira datamongo list collection query spring https embedded incorrect embedded demonstrate browse attach find generate,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,documents max bug elements matching query method nearquery myobject object returns distance distance mongo nearquery type log todbobject dbobject template geonear info myobjecttype mongotemplate location aloha findbytypeandlocationnear result maxdistance georesults,org.springframework.data.mongodb.core.MongoOperations
