Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,,Bug Provide JAX detect mediatype JAX server detect mediatype meta endpoint modify meta endpoint address individual fields query parameter turn path query parameter BAD REQUEST interest TIKA Bug Provide JAX detect mediatype test type parser tika resource set add content,tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,,ToXMLContentHandler ElementInfo getPrefix Prefix Element Handler Info XMLContent Bug     StackOverflow error in org apache tika sax ToXMLContentHandler ElementInfo getPrefix ToXMLContentHandler java,tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1192,2013-11-06T15:31:41.000-06:00,,rtf arrayindexoutofboundsexception exception array bug bounds parsing index out privacy file reasons attach,"tika-parsers.src.test.java.org.apache.tika.parser.rtf.RTFParserTest
tika-parsers.src.main.java.org.apache.tika.parser.rtf.TextExtractor"
CLASS,tika-1.3,TIKA-1211,2013-12-17T06:49:16.000-06:00,,document open bug start opendocument startdocument odf parser events multiple produces files opendocumentfiles parse receive,tika-core.src.main.java.org.apache.tika.sax.XHTMLContentHandler
FILE,DATAMONGO,DATAMONGO-805,2013-12-02T06:34:36.000-06:00,,mappingexception exception field bug query mapping dbref excluding java lang integer fields find include,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.mapping.MappingTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-523,2012-09-01T03:39:51.000-05:00,,type bug configuration abstractmongoconfiguration mongo typealias alias annotation abstract classes document annotations annotate,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-1027,2014-08-16T13:49:22.000-05:00,,Bug Collection inherits complex embedded object dup key Bug Collection inherits complex embedded object nested correctly object property mapper render converts set,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.Indexed
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreatorUnitTests
org.springframework.data.mongodb.core.index.CompoundIndex
org.springframework.data.mongodb.core.index.GeoSpatialIndexed"
FILE,DATAMONGO,DATAMONGO-938,2014-05-21T06:09:48.000-05:00,,mapreduce bug map exception criteria geo reduce creating data core org geocommand command query geo springframework mongodb serialize,"org.springframework.data.mongodb.core.mapreduce.MapReduceTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-987,2014-07-14T12:01:52.000-05:00,,data bug dbref template mongotemplate mongo problem lazy loading child entity accident lot problems bring persist,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.DbRefMappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-1250,2015-07-03T21:07:44.000-05:00,,custom implementation bug updates converter converters customconversions template persistant mongotemplate object mypersistantobject mongo allocation enum mongo object register call entry application spring store check sense custom query test debug allocation,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.UpdateMapper"
FILE,DATAMONGO,DATAMONGO-1263,2015-07-30T09:03:41.000-05:00,,indexes bug types associations missing involving code https agustisanchez abstractproduct mongo spring springdatamongodbbug dbbug product data github samples attribute,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolverUnitTests"
FILE,DATAMONGO,DATAMONGO-1307,2015-10-20T12:33:45.000-05:00,,npes bug user runtime exceptions converting defined translateexceptionifpossible exception translator exceptiontranslator exception translate,org.springframework.data.mongodb.core.MongoTemplate
FILE,DATAMONGO,DATAMONGO-1406,2016-04-04T18:59:49.000-05:00,,Bug Query mapper Field field querying nested fields combination nested keywords protect List note queries list Bug Query mapper Field field querying nested fields combination nested keywords field property fields update aggregation nested mapped conversion,"org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1088,2014-11-07T03:08:58.000-06:00,,Bug Query remove property collection embedded objects relate bug https jira spring browse DATAMONGO Bug Query remove property collection embedded objects nested type update correctly field write mapper model,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-1123,2014-12-17T09:39:36.000-06:00,,Bug geoNear matching elements returns max documents document geoNear method link georesults matching match link nearquery method pageable Bug geoNear matching elements returns max documents text query sort mongo operation entity execution parameter,org.springframework.data.mongodb.core.MongoOperations
FILE,DATAMONGO,DATAMONGO-1126,2014-12-21T06:03:21.000-06:00,,bug query findbyinid keyword repository pageable find returning correctly member,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.AbstractMongoQueryUnitTests
org.springframework.data.mongodb.core.MongoOperations
org.springframework.data.mongodb.core.MongoTemplate
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-1050,2014-09-09T03:41:12.000-05:00,,ids bug simple repository documents simplemongorepository findbyid mongo nested don find myid field store refactor characters mongo fields save relate create,"org.springframework.data.mongodb.core.mapping.BasicMongoPersistentProperty
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
org.springframework.data.mongodb.core.mapping.BasicMongoPersistentPropertyUnitTests
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-1202,2015-04-14T02:36:40.000-05:00,,Bug Indexed annotation problems generics Mongo server Bug Indexed annotation problems generics set event mapping entity persistent collection mongo location,"org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexResolver
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreator
org.springframework.data.mongodb.core.index.MongoPersistentEntityIndexCreatorIntegrationTests
org.springframework.data.mongodb.core.index.IndexResolver"
FILE,DATAMONGO,DATAMONGO-1498,2016-09-25T22:21:26.000-05:00,,types doesn auto mapping time mongomappingcontext mongo jodatime joda bug jdk time context detected annotations schema objects upgrade unwrapped datetime json jsonunwrapped json spring representation problem solution boot child properties,"org.springframework.data.mongodb.repository.config.MongoRepositoryConfigurationExtension
org.springframework.data.mongodb.config.AuditingViaJavaConfigRepositoriesTests
org.springframework.data.mongodb.config.MongoAuditingRegistrar"
FILE,DATAMONGO,DATAMONGO-1289,2015-09-17T11:43:51.000-05:00,,exception field pointer bug nullpointerexception object annotation saving null work change versions newer expect,"org.springframework.data.mongodb.repository.support.MongoRepositoryFactory
org.springframework.data.mongodb.repository.support.MappingMongoEntityInformation"
FILE,DATAMONGO,DATAMONGO-663,2013-04-24T03:21:19.000-05:00,,Bug org springframework data mongodb core query Field equals method implement equals Field method equals method unit testing Bug org springframework data mongodb core query Field equals method mongo query geo test field property plain parameter,org.springframework.data.mongodb.core.query.Field
FILE,DATAMONGO,DATAMONGO-688,2013-06-03T14:11:53.000-05:00,,Bug precedence annotation field named attempted find issue list jira read post read hitting Bug precedence annotation field named attempted find test lastname firstname address drop created mongo,"org.springframework.data.mongodb.core.mapping.MongoPersistentProperty
org.springframework.data.mongodb.core.mapping.BasicMongoPersistentProperty
org.springframework.data.mongodb.core.mapping.BasicMongoPersistentEntity
org.springframework.data.mongodb.core.mapping.MongoMappingContextUnitTests"
FILE,DATAMONGO,DATAMONGO-717,2013-07-10T11:13:46.000-05:00,,bug context application entities persistent distributed properly beansexception context exception classnotfoundexception application persistent poc mongomappingcontext mongo mapping beans entity basic point url basicmongopersistententity object call create referenced protect initialize send,org.springframework.data.mongodb.config.AbstractMongoConfigurationUnitTests
FILE,DATAMONGO,DATAMONGO-721,2013-07-11T11:36:06.000-05:00,,Bug Polymorphic attribute type persisted update operations find Spring data find Mongo annotate Document Bug Polymorphic attribute type persisted update operations count mongo convert ssn event set person base,org.springframework.data.mongodb.core.convert.QueryMapper
FILE,DATAMONGO,DATAMONGO-629,2013-03-22T04:08:25.000-05:00,,field bug count criteria find data querymapper query mapper mongodb core springframework convert treat org,"org.springframework.data.mongodb.core.mapping.MongoMappingContext
org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.convert.QueryMapper
org.springframework.data.mongodb.core.convert.QueryMapperUnitTests"
FILE,DATAMONGO,DATAMONGO-571,2012-11-09T08:00:10.000-06:00,,spring bug mongodb data domain version mongo doesn values save annotation definition,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.query.Update"
FILE,DATAMONGO,DATAMONGO-602,2013-01-30T02:22:53.000-06:00,,bug biginteger big type integer field querying returns mongodb work mongo format map representation decimal,org.springframework.data.mongodb.core.MongoTemplateTests
FILE,DATAMONGO,DATAMONGO-647,2013-04-09T17:29:02.000-05:00,,orderby field method query field bug annotation order ignores alias score,org.springframework.data.mongodb.core.convert.QueryMapperUnitTests
FILE,DATAMONGO,DATAMONGO-887,2014-03-20T21:01:31.000-05:00,,treemap field tree bug type entity map repository instantiated hash convertor test treeset hashmap work version myclass set build affect fail,org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
FILE,DATAMONGO,DATAMONGO-897,2014-04-01T04:38:51.000-05:00,,dbref update target findandupdate bug broken find ref and details project spring commons attach pass,"org.springframework.data.mongodb.core.convert.UpdateMapperUnitTests
org.springframework.data.mongodb.core.convert.QueryMapper"
FILE,DATAMONGO,DATAMONGO-402,2012-02-17T00:31:18.000-06:00,,bug supported insideclass enclosing type test enclosingclass find org,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-413,2012-03-09T17:21:02.000-06:00,,classcastexception bug query repository exception yields cast java class basicdbobject email thread dbobject mongodb lang exception basic iterable main create,"org.springframework.data.mongodb.core.query.OrQuery
org.springframework.data.mongodb.repository.query.MongoQueryCreator
org.springframework.data.mongodb.repository.query.MongoQueryCreatorUnitTests"
FILE,DATAMONGO,DATAMONGO-425,2012-04-02T04:56:44.000-05:00,,bug query repository binding defined fails manually question stack overflow stackoverflow details,"org.springframework.data.mongodb.repository.Person
org.springframework.data.mongodb.repository.query.StringBasedMongoQuery
org.springframework.data.mongodb.repository.config.MongoNamespaceIntegrationTests
org.springframework.data.mongodb.repository.AbstractPersonRepositoryIntegrationTests
org.springframework.data.mongodb.repository.PersonRepository"
FILE,DATAMONGO,DATAMONGO-423,2012-03-29T06:03:26.000-05:00,,Bug Criteria regex java util Pattern regex complain regex regex BSON regex type Bug Criteria regex java util Pattern regex query mongo find criteria path parameter lastname firstname,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.query.QueryTests
org.springframework.data.mongodb.core.query.Criteria"
FILE,DATAMONGO,DATAMONGO-462,2012-06-19T08:57:02.000-05:00,,npe findall bug root find discovering fails all thread persistenceconstructor source constructor error reference url persistence forum base java bean report bug posts annotation instantiate net github original informative duplicate,"org.springframework.data.mongodb.core.convert.MongoConverters
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests
org.springframework.data.mongodb.core.convert.CustomConversionsUnitTests
org.springframework.data.mongodb.core.convert.CustomConversions"
FILE,DATAMONGO,DATAMONGO-346,2011-12-10T04:44:04.000-06:00,,bug template mongotemplate arg object mongo working remove work mongodb spring data,"org.springframework.data.mongodb.core.QueryMapper
org.springframework.data.mongodb.core.MongoTemplateTests"
FILE,DATAMONGO,DATAMONGO-260,2011-09-05T01:06:36.000-05:00,,type map bug mapreduce key reduce fails lang java string find convert,"org.springframework.data.mongodb.core.convert.AbstractMongoConverter
org.springframework.data.mongodb.core.mapreduce.MapReduceTests"
FILE,DATAMONGO,DATAMONGO-387,2012-02-01T05:16:08.000-06:00,,geopage geo bug work query doesn methods executing data page geo georesults core org mongodb springframework,"org.springframework.data.mongodb.repository.AbstractPersonRepositoryIntegrationTests
org.springframework.data.mongodb.repository.PersonRepository
org.springframework.data.mongodb.repository.query.MongoQueryCreator
org.springframework.data.mongodb.repository.query.PartTreeMongoQuery
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-398,2012-02-10T07:11:53.000-06:00,,bug org service event store event osgi fails java illegalargumentexception illegal argument lang exception,"org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests"
FILE,DATAMONGO,DATAMONGO-392,2012-02-07T04:28:15.000-06:00,,Bug Updating object write type objects updated work upgrade work comment call save type DBObject Bug Updating object write type objects updated type map collection writes correctly object read reads,"org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
