Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1014,2012-10-30T01:01:31.000-05:00,Allow custom MimeTypesReader,"The current MimeTypesReader is package protected with private fields.
In particular:
- error handling
- custom XML tags","tika-core.src.main.java.org.apache.tika.mime.MimeTypesReader.ClauseRecord
tika-core.src.test.java.org.apache.tika.TikaIT"
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,Provide a JAX-RS to detect only the mediatype,"Currently I can use the JAX-RS server to detect the mediatype using the meta endpoint.
The problem I have with this is that I need to send the entire document to get all metadata.
In order to accomplish this, it would be good to modify the /meta endpoint to address the individual fields that might be returned:
/meta/mediatype
/meta/author
/meta/lastModified
The parts currently following the path could be turned into a query parameter, which I think is more appropriate anyways (also easier to manipulate with tools like jquery).
If sufficient data is not available, I'd just return with a BAD_REQUEST.
If this would be of interest to TIKA, I think I could possibly implement this.",tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1070,2013-01-31T05:43:33.000-06:00,StackOverflow error in org.apache.tika.sax.ToXMLContentHandler$ElementInfo.getPrefix(ToXMLContentHandler.java:58),"The error occurs when parsing big ""XLS"" files and is caused by the ElementInfo stored in ""currentElement"".
Each time a new element is started (method startElement) the current elment is newly overwritten with
currentElement = new ElementInfo(currentElement, namespaces);
where the existing element is used as the parent element.
Since the currentElement is not reset to the parent element after finishing the element (method: endElement) the method getPrefix recursively traverses the parents and finally causes the StackOverFlowError
For my understanding: something like:
currentElement = currentElement.parent;
in the endElement method solves the issue!
Best",tika-core.src.main.java.org.apache.tika.sax.ToXMLContentHandler
CLASS,tika-1.3,TIKA-1074,2013-02-04T08:53:40.000-06:00,Extraction should continue if an exception is hit visiting an embedded document,"Spinoff from TIKA-1072.
In that issue, a problematic document (still not sure if document is corrupt, or possible POI bug) caused an exception when visiting the embedded documents.
If I change Tika to suppress that exception, the rest of the document extracts fine.","tika-app.src.main.java.org.apache.tika.cli.TikaCLI
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.SummaryExtractor
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.AbstractPOIFSExtractor"
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,Process loops infinitely on parsing of a CHM file,"By parsing [the attachment CHM file|^eventcombmt.chm] (MS Microsoft Help Files), Java process stuck.
{code}
Thread[main,5,main]
org.apache.tika.parser.chm.lzx.ChmLzxBlock.extractContent(ChmLzxBlock.java:203)
org.apache.tika.parser.chm.lzx.ChmLzxBlock.<init>(ChmLzxBlock.java:77)
org.apache.tika.parser.chm.core.ChmExtractor.extractChmEntry(ChmExtractor.java:338)
org.apache.tika.parser.chm.CHMDocumentInformation.getContent(CHMDocumentInformation.java:72)
org.apache.tika.parser.chm.CHMDocumentInformation.getText(CHMDocumentInformation.java:141)
org.apache.tika.parser.chm.CHM2XHTML.process(CHM2XHTML.java:34)
org.apache.tika.parser.chm.ChmParser.parse(ChmParser.java:51)
org.apache.tika.parser.ParserDecorator.parse(ParserDecorator.java:91)
org.apache.tika.parser.CompositeParser.parse(CompositeParser.java:242)
org.apache.tika.parser.AbstractParser.parse(AbstractParser.java:53)
com.polyspot.document.converter.DocumentConverter.realizeConversion(DocumentConverter.java:192)
...
{code}",tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
CLASS,tika-1.3,TIKA-1192,2013-11-06T15:31:41.000-06:00,ArrayIndexOutOfBoundsException: 9 parsing RTF,"When trying to parse an RTF file I'm getting the following exception.
I am not able to attach the file for privacy reasons:
{noformat}
java.lang.ArrayIndexOutOfBoundsException: 9
TextExtractor.java:872 org.apache.tika.parser.rtf.TextExtractor.processControlWord
TextExtractor.java:566 org.apache.tika.parser.rtf.TextExtractor.parseControlWord
TextExtractor.java:492 org.apache.tika.parser.rtf.TextExtractor.parseControlToken
TextExtractor.java:459 org.apache.tika.parser.rtf.TextExtractor.extract
TextExtractor.java:448 org.apache.tika.parser.rtf.TextExtractor.extract
RTFParser.java:56 org.apache.tika.parser.rtf.RTFParser.parse
(Unknown Source) sun.reflect.NativeMethodAccessorImpl.invoke0
NativeMethodAccessorImpl.java:57 sun.reflect.NativeMethodAccessorImpl.invoke
DelegatingMethodAccessorImpl.java:43 sun.reflect.DelegatingMethodAccessorImpl.invoke
Method.java:606 java.lang.reflect.Method.invoke
Reflector.java:93 clojure.lang.Reflector.invokeMatchingMethod
Reflector.java:28 clojure.lang.Reflector.invokeInstanceMethod
tika_parser.clj:20 rtf-parser.tika-parser/parse
form-init2921349737948661927.clj:1 rtf-parser.tika-parser/eval4200
Compiler.java:6619 clojure.lang.Compiler.eval
Compiler.java:6582 clojure.lang.Compiler.eval
core.clj:2852 clojure.core/eval
main.clj:259 clojure.main/repl[fn]
main.clj:259 clojure.main/repl[fn]
main.clj:277 clojure.main/repl[fn]
main.clj:277 clojure.main/repl
RestFn.java:1096 clojure.lang.RestFn.invoke
interruptible_eval.clj:56 clojure.tools.nrepl.middleware.interruptible-eval/evaluate[fn]
AFn.java:159 clojure.lang.AFn.applyToHelper
AFn.java:151 clojure.lang.AFn.applyTo
core.clj:617 clojure.core/apply
core.clj:1788 clojure.core/with-bindings*
RestFn.java:425 clojure.lang.RestFn.invoke
interruptible_eval.clj:41 clojure.tools.nrepl.middleware.interruptible-eval/evaluate
interruptible_eval.clj:171 clojure.tools.nrepl.middleware.interruptible-eval/interruptible-eval[fn]
core.clj:2330 clojure.core/comp[fn]
interruptible_eval.clj:138 clojure.tools.nrepl.middleware.interruptible-eval/run-next[fn]
AFn.java:24 clojure.lang.AFn.run
ThreadPoolExecutor.java:1145 java.util.concurrent.ThreadPoolExecutor.runWorker
ThreadPoolExecutor.java:615 java.util.concurrent.ThreadPoolExecutor$Worker.run
Thread.java:724 java.lang.Thread.run
{noformat}","tika-parsers.src.test.java.org.apache.tika.parser.rtf.RTFParserTest
tika-parsers.src.main.java.org.apache.tika.parser.rtf.TextExtractor"
CLASS,tika-1.3,TIKA-1211,2013-12-17T06:49:16.000-06:00,OpenDocument (ODF) parser produces multiple startDocument() events,"Related to SOLR-4809: Solr receives multiple startDocument events when parsing OpenDocumentFiles.
The parser already prevents multiple endDocuments, but not multiple startDocuments.
The bug was introduced when we added parsing content.xml and meta.xml (TIKA-736, but both feed elements to the XHTML output, so we get multiple start/endDocuments).",tika-core.src.main.java.org.apache.tika.sax.XHTMLContentHandler
FILE,DATAMONGO,DATAMONGO-315,2011-11-09T10:21:33.000-06:00,MongoTemplate.findOne(query) methods ignore SortOrder on query,"Query query = query(where(""type"").
is(""ad""));
query.sort().
on(""rawBidPrice"", Order.DESCENDING);
Ad ad = mongoTemplate.findOne(query, Ad.class);
This does not sort the results before returning the first item.
Looking at the code, it doesn't even call query.getSortOrder().
--------------
Workaround
Query query = query(where(""type"").
is(""ad""));
query.sort().
on(""rawBidPrice"", Order.DESCENDING);
query.limit(1);
List<Ad> ads = mongoTemplate.find(query, Ad.class);
Ad ad = ads.isEmpty() ? null : ads.get(0);","org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-260,2011-09-05T01:06:36.000-05:00,MapReduce fails when using with Long as key-type.,"MapReduce will fail calling emit with Long as key-type.
class Foo {
String id;
Long number;
Long version;
}
Map:
function() {
emit(this.number, this.version)
}
Reduce:
function(key, values) {
return Math.max.apply(Math, values);
}
(see http://cookbook.mongodb.org/patterns/finding_max_and_min/)
outputcollection
{
""_id"": 1,
""value"": 2
}
then it tries to convert _id to objectid which fails:
org.springframework.core.convert.ConverterNotFoundException: No converter found capable of converting from 'java.lang.Long' to 'java.lang.String'
at org.springframework.core.convert.support.GenericConversionService.convert(GenericConversionService.java:155)
at org.springframework.core.convert.support.GenericConversionService.convert(GenericConversionService.java:127)
at org.springframework.data.mapping.model.BeanWrapper.getPotentiallyConvertedValue(BeanWrapper.java:221)
at org.springframework.data.mapping.model.BeanWrapper.setProperty(BeanWrapper.java:155)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter$2.doWithPersistentProperty(MappingMongoConverter.java:260)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter$2.doWithPersistentProperty(MappingMongoConverter.java:248)
at org.springframework.data.mapping.model.BasicPersistentEntity.doWithProperties(BasicPersistentEntity.java:160)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter.read(MappingMongoConverter.java:248)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter.read(MappingMongoConverter.java:193)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter.read(MappingMongoConverter.java:161)
at org.springframework.data.mongodb.core.MongoTemplate$ReadDbObjectCallback.doWith(MongoTemplate.java:1462)
at org.springframework.data.mongodb.core.MongoTemplate.mapReduce(MongoTemplate.java:885)
at org.springframework.data.mongodb.core.MongoTemplate.mapReduce(MongoTemplate.java:841)","org.springframework.data.mongodb.core.convert.AbstractMongoConverter
org.springframework.data.mongodb.core.mapreduce.MapReduceTests"
FILE,DATAMONGO,DATAMONGO-387,2012-02-01T05:16:08.000-06:00,Executing query methods with GeoPage results doesn't work,"When using GeoPage as return value for repository query methods we run into a ClassCastException.
org.springframework.data.mongodb.core.geo.GeoResults cannot be cast to org.springframework.data.mongodb.core.geo.GeoPage","org.springframework.data.mongodb.repository.AbstractPersonRepositoryIntegrationTests
org.springframework.data.mongodb.repository.PersonRepository
org.springframework.data.mongodb.repository.query.MongoQueryCreator
org.springframework.data.mongodb.repository.query.PartTreeMongoQuery
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
