Dataset,System,Bug ID,Creation Date,Title,Description,Ground Truth
CLASS,tika-1.3,TIKA-1014,2012-10-30T01:01:31.000-05:00,allow custom MimeTypesReader,"The current MimeTypesReader is package protected with private fields.
In particular:
- error handling
- custom XML tags","tika-core.src.main.java.org.apache.tika.mime.MimeTypesReader.ClauseRecord
tika-core.src.test.java.org.apache.tika.TikaIT"
CLASS,tika-1.3,TIKA-1047,2012-12-19T12:55:52.000-06:00,provide JAX-RS detect mediatype,"Currently I can use the JAX-RS server to detect the mediatype using the meta endpoint.
The problem I have with this is that I need to send the entire document to get all metadata.
In order to accomplish this, it would be good to modify the /meta endpoint to address the individual fields that might be returned:
/meta/mediatype
/meta/author
/meta/lastModified
The parts currently following the path could be turned into a query parameter, which I think is more appropriate anyways (also easier to manipulate with tools like jquery).
If sufficient data is not available, I'd just return with a BAD_REQUEST.
If this would be of interest to TIKA, I think I could possibly implement this.",tika-server.src.main.java.org.apache.tika.server.TikaResource
CLASS,tika-1.3,TIKA-1074,2013-02-04T08:53:40.000-06:00,visit embedded document,"Spinoff from TIKA-1072.
In that issue, a problematic document (still not sure if document is corrupt, or possible POI bug) caused an exception when visiting the embedded documents.
If I change Tika to suppress that exception, the rest of the document extracts fine.","tika-app.src.main.java.org.apache.tika.cli.TikaCLI
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.SummaryExtractor
tika-parsers.src.main.java.org.apache.tika.parser.microsoft.AbstractPOIFSExtractor"
CLASS,tika-1.3,TIKA-1152,2013-07-23T08:45:11.000-05:00,Process loops infinitely on parsing of a CHM file,"By parsing [the attachment CHM file|^eventcombmt.chm] (MS Microsoft Help Files), Java process stuck.
{code}
Thread[main,5,main]
org.apache.tika.parser.chm.lzx.ChmLzxBlock.extractContent(ChmLzxBlock.java:203)
org.apache.tika.parser.chm.lzx.ChmLzxBlock.<init>(ChmLzxBlock.java:77)
org.apache.tika.parser.chm.core.ChmExtractor.extractChmEntry(ChmExtractor.java:338)
org.apache.tika.parser.chm.CHMDocumentInformation.getContent(CHMDocumentInformation.java:72)
org.apache.tika.parser.chm.CHMDocumentInformation.getText(CHMDocumentInformation.java:141)
org.apache.tika.parser.chm.CHM2XHTML.process(CHM2XHTML.java:34)
org.apache.tika.parser.chm.ChmParser.parse(ChmParser.java:51)
org.apache.tika.parser.ParserDecorator.parse(ParserDecorator.java:91)
org.apache.tika.parser.CompositeParser.parse(CompositeParser.java:242)
org.apache.tika.parser.AbstractParser.parse(AbstractParser.java:53)
com.polyspot.document.converter.DocumentConverter.realizeConversion(DocumentConverter.java:192)
...
{code}",tika-parsers.src.main.java.org.apache.tika.parser.chm.lzx.ChmLzxBlock
CLASS,tika-1.3,TIKA-1211,2013-12-17T06:49:16.000-06:00,OpenDocument (ODF) parser produces multiple startDocument() events,"Related to SOLR-4809: Solr receives multiple startDocument events when parsing OpenDocumentFiles.
The parser already prevents multiple endDocuments, but not multiple startDocuments.
The bug was introduced when we added parsing content.xml and meta.xml (TIKA-736, but both feed elements to the XHTML output, so we get multiple start/endDocuments).",tika-core.src.main.java.org.apache.tika.sax.XHTMLContentHandler
FILE,DATAMONGO,DATAMONGO-315,2011-11-09T10:21:33.000-06:00,MongoTemplate.findOne(query) methods ignore SortOrder on query,"Query query = query(where(""type"").
is(""ad""));
query.sort().
on(""rawBidPrice"", Order.DESCENDING);
Ad ad = mongoTemplate.findOne(query, Ad.class);
This does not sort the results before returning the first item.
Looking at the code, it doesn't even call query.getSortOrder().
--------------
Workaround
Query query = query(where(""type"").
is(""ad""));
query.sort().
on(""rawBidPrice"", Order.DESCENDING);
query.limit(1);
List<Ad> ads = mongoTemplate.find(query, Ad.class);
Ad ad = ads.isEmpty() ? null : ads.get(0);","org.springframework.data.mongodb.core.MongoTemplateTests
org.springframework.data.mongodb.core.MongoTemplate"
FILE,DATAMONGO,DATAMONGO-260,2011-09-05T01:06:36.000-05:00,MapReduce fails when using with Long as key-type.,"MapReduce will fail calling emit with Long as key-type.
class Foo {
String id;
Long number;
Long version;
}
Map:
function() {
emit(this.number, this.version)
}
Reduce:
function(key, values) {
return Math.max.apply(Math, values);
}
(see http://cookbook.mongodb.org/patterns/finding_max_and_min/)
outputcollection
{
""_id"": 1,
""value"": 2
}
then it tries to convert _id to objectid which fails:
org.springframework.core.convert.ConverterNotFoundException: No converter found capable of converting from 'java.lang.Long' to 'java.lang.String'
at org.springframework.core.convert.support.GenericConversionService.convert(GenericConversionService.java:155)
at org.springframework.core.convert.support.GenericConversionService.convert(GenericConversionService.java:127)
at org.springframework.data.mapping.model.BeanWrapper.getPotentiallyConvertedValue(BeanWrapper.java:221)
at org.springframework.data.mapping.model.BeanWrapper.setProperty(BeanWrapper.java:155)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter$2.doWithPersistentProperty(MappingMongoConverter.java:260)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter$2.doWithPersistentProperty(MappingMongoConverter.java:248)
at org.springframework.data.mapping.model.BasicPersistentEntity.doWithProperties(BasicPersistentEntity.java:160)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter.read(MappingMongoConverter.java:248)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter.read(MappingMongoConverter.java:193)
at org.springframework.data.mongodb.core.convert.MappingMongoConverter.read(MappingMongoConverter.java:161)
at org.springframework.data.mongodb.core.MongoTemplate$ReadDbObjectCallback.doWith(MongoTemplate.java:1462)
at org.springframework.data.mongodb.core.MongoTemplate.mapReduce(MongoTemplate.java:885)
at org.springframework.data.mongodb.core.MongoTemplate.mapReduce(MongoTemplate.java:841)","org.springframework.data.mongodb.core.convert.AbstractMongoConverter
org.springframework.data.mongodb.core.mapreduce.MapReduceTests"
FILE,DATAMONGO,DATAMONGO-387,2012-02-01T05:16:08.000-06:00,execute query methods with GeoPage not work for executing,"When using GeoPage as return value for repository query methods we run into a ClassCastException.
org.springframework.data.mongodb.core.geo.GeoResults cannot be cast to org.springframework.data.mongodb.core.geo.GeoPage","org.springframework.data.mongodb.repository.AbstractPersonRepositoryIntegrationTests
org.springframework.data.mongodb.repository.PersonRepository
org.springframework.data.mongodb.repository.query.MongoQueryCreator
org.springframework.data.mongodb.repository.query.PartTreeMongoQuery
org.springframework.data.mongodb.repository.query.AbstractMongoQuery"
FILE,DATAMONGO,DATAMONGO-385,2012-01-26T05:13:31.000-06:00,MongoRepositoryFactory does not support id classes of type java.lang.Long,"It is not possible to use a MongoRepository with Long id class:
public interface TestRepository extends MongoRepository<TestEntity, Long> {  }
@Document
public class TestEntity
{
@Id
private Long id;
}",org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryUnitTests
FILE,DATAMONGO,DATAMONGO-398,2012-02-10T07:11:53.000-06:00,store org.osgi.service.event.Event,"When I attempt to save an object from org.apache.felix's versions of org.osgi.service.event.Event, the stack trace below occurs.
This appears to be due to the system attempting to save the topic field in Event as event.topics.
If anyone could confirm this as a bug, or tell me what I am doing wrong that would be great.
<dependency>
<groupId>org.apache.felix</groupId>
<artifactId>org.osgi.core</artifactId>
<version>1.4.0</version>
</dependency>
<dependency>
<groupId>org.springframework.data</groupId>
<artifactId>spring-data-mongodb</artifactId>
<version>1.0.0.
RELEASE</version>
</dependency>
<dependency>
<groupId>org.apache.felix</groupId>
<artifactId>org.osgi.compendium</artifactId>
<version>1.4.0</version>
</dependency>
org.osgi.framework.BundleException: Exception in myproject.bundle.dbtest.Activator.start() of bundle myproject.bundle.dbtest.policy-db-test.
at org.eclipse.osgi.framework.internal.core.BundleContextImpl.startActivator(BundleContextImpl.java:806)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl.start(BundleContextImpl.java:755)
at org.eclipse.osgi.framework.internal.core.BundleHost.startWorker(BundleHost.java:370)
at org.eclipse.osgi.framework.internal.core.AbstractBundle.start(AbstractBundle.java:284)
at org.eclipse.osgi.framework.internal.core.AbstractBundle.start(AbstractBundle.java:276)
at org.eclipse.osgi.framework.internal.core.FrameworkCommandProvider.
_start(FrameworkCommandProvider.java:252)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:616)
at org.eclipse.osgi.framework.internal.core.FrameworkCommandInterpreter.execute(FrameworkCommandInterpreter.java:155)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.docommand(FrameworkConsole.java:156)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.runConsole(FrameworkConsole.java:141)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.run(FrameworkConsole.java:105)
at java.lang.Thread.run(Thread.java:679)
Caused by: java.lang.IllegalArgumentException: fields stored in the db can't have . in them. (Bad Key: 'event.topics')
at com.mongodb.DBCollection.validateKey(DBCollection.java:1213)
at com.mongodb.DBCollection.
_checkKeys(DBCollection.java:1181)
at com.mongodb.DBCollection.
_checkKeys(DBCollection.java:1184)
at com.mongodb.DBCollection.
_checkObject(DBCollection.java:1171)
at com.mongodb.DBCollection.save(DBCollection.java:718)
at com.mongodb.DBCollection.save(DBCollection.java:703)
at org.springframework.data.mongodb.core.MongoTemplate$11.doInCollection(MongoTemplate.java:790)
at org.springframework.data.mongodb.core.MongoTemplate.execute(MongoTemplate.java:368)
at org.springframework.data.mongodb.core.MongoTemplate.saveDBObject(MongoTemplate.java:784)
at org.springframework.data.mongodb.core.MongoTemplate.doSave(MongoTemplate.java:720)
at org.springframework.data.mongodb.core.MongoTemplate.save(MongoTemplate.java:707)
at org.springframework.data.mongodb.core.MongoTemplate.save(MongoTemplate.java:703)
at myproject.bundle.db.PolicyDb.updatePolicy(PolicyDb.java:32)
at myproject.bundle.dbtest.Activator.start(Activator.java:21)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl$1.run(BundleContextImpl.java:783)
at java.security.AccessController.doPrivileged(Native Method)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl.startActivator(BundleContextImpl.java:774)
... 14 more
Nested Exception:
java.lang.IllegalArgumentException: fields stored in the db can't have .
in them.
(Bad Key: 'event.topics')
at com.mongodb.DBCollection.validateKey(DBCollection.java:1213)
at com.mongodb.DBCollection.
_checkKeys(DBCollection.java:1181)
at com.mongodb.DBCollection.
_checkKeys(DBCollection.java:1184)
at com.mongodb.DBCollection.
_checkObject(DBCollection.java:1171)
at com.mongodb.DBCollection.save(DBCollection.java:718)
at com.mongodb.DBCollection.save(DBCollection.java:703)
at org.springframework.data.mongodb.core.MongoTemplate$11.doInCollection(MongoTemplate.java:790)
at org.springframework.data.mongodb.core.MongoTemplate.execute(MongoTemplate.java:368)
at org.springframework.data.mongodb.core.MongoTemplate.saveDBObject(MongoTemplate.java:784)
at org.springframework.data.mongodb.core.MongoTemplate.doSave(MongoTemplate.java:720)
at org.springframework.data.mongodb.core.MongoTemplate.save(MongoTemplate.java:707)
at org.springframework.data.mongodb.core.MongoTemplate.save(MongoTemplate.java:703)
at myproject.bundle.db.PolicyDb.updatePolicy(PolicyDb.java:32)
at myproject.bundle.dbtest.Activator.start(Activator.java:21)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl$1.run(BundleContextImpl.java:783)
at java.security.AccessController.doPrivileged(Native Method)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl.startActivator(BundleContextImpl.java:774)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl.start(BundleContextImpl.java:755)
at org.eclipse.osgi.framework.internal.core.BundleHost.startWorker(BundleHost.java:370)
at org.eclipse.osgi.framework.internal.core.AbstractBundle.start(AbstractBundle.java:284)
at org.eclipse.osgi.framework.internal.core.AbstractBundle.start(AbstractBundle.java:276)
at org.eclipse.osgi.framework.internal.core.FrameworkCommandProvider.
_start(FrameworkCommandProvider.java:252)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:616)
at org.eclipse.osgi.framework.internal.core.FrameworkCommandInterpreter.execute(FrameworkCommandInterpreter.java:155)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.docommand(FrameworkConsole.java:156)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.runConsole(FrameworkConsole.java:141)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.run(FrameworkConsole.java:105)
at java.lang.Thread.run(Thread.java:679)
Nested Exception:
java.lang.IllegalArgumentException: fields stored in the db can't have .
in them.
(Bad Key: 'event.topics')
at com.mongodb.DBCollection.validateKey(DBCollection.java:1213)
at com.mongodb.DBCollection.
_checkKeys(DBCollection.java:1181)
at com.mongodb.DBCollection.
_checkKeys(DBCollection.java:1184)
at com.mongodb.DBCollection.
_checkObject(DBCollection.java:1171)
at com.mongodb.DBCollection.save(DBCollection.java:718)
at com.mongodb.DBCollection.save(DBCollection.java:703)
at org.springframework.data.mongodb.core.MongoTemplate$11.doInCollection(MongoTemplate.java:790)
at org.springframework.data.mongodb.core.MongoTemplate.execute(MongoTemplate.java:368)
at org.springframework.data.mongodb.core.MongoTemplate.saveDBObject(MongoTemplate.java:784)
at org.springframework.data.mongodb.core.MongoTemplate.doSave(MongoTemplate.java:720)
at org.springframework.data.mongodb.core.MongoTemplate.save(MongoTemplate.java:707)
at org.springframework.data.mongodb.core.MongoTemplate.save(MongoTemplate.java:703)
at myproject.bundle.db.PolicyDb.updatePolicy(PolicyDb.java:32)
at myproject.bundle.dbtest.Activator.start(Activator.java:21)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl$1.run(BundleContextImpl.java:783)
at java.security.AccessController.doPrivileged(Native Method)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl.startActivator(BundleContextImpl.java:774)
at org.eclipse.osgi.framework.internal.core.BundleContextImpl.start(BundleContextImpl.java:755)
at org.eclipse.osgi.framework.internal.core.BundleHost.startWorker(BundleHost.java:370)
at org.eclipse.osgi.framework.internal.core.AbstractBundle.start(AbstractBundle.java:284)
at org.eclipse.osgi.framework.internal.core.AbstractBundle.start(AbstractBundle.java:276)
at org.eclipse.osgi.framework.internal.core.FrameworkCommandProvider.
_start(FrameworkCommandProvider.java:252)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:616)
at org.eclipse.osgi.framework.internal.core.FrameworkCommandInterpreter.execute(FrameworkCommandInterpreter.java:155)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.docommand(FrameworkConsole.java:156)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.runConsole(FrameworkConsole.java:141)
at org.eclipse.osgi.framework.internal.core.FrameworkConsole.run(FrameworkConsole.java:105)
at java.lang.Thread.run(Thread.java:679)","org.springframework.data.mongodb.core.convert.MappingMongoConverter
org.springframework.data.mongodb.core.convert.MappingMongoConverterUnitTests"
