Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
BLIZZARD--TITLE*OB*T_OTHER*EB,0.2279305897,0.3010637433,0.3208571246,0.058586386,0.1025856054,0.751014396,0.0744906485,0.130911964,0.7574281697
BLIZZARD--TITLE*OB*T_OTHER,0.2279305897,0.300180085,0.3169802498,0.058586386,0.0991515087,0.6923984459,0.0744906485,0.1251483664,0.6800547309
BLIZZARD--TITLE*OB*T_OTHER*T_S2R*EB,0.2279305897,0.2991545282,0.3124808242,0.058586386,0.1022693587,0.745616441,0.0744906485,0.131164853,0.7608230793
BLIZZARD--TITLE*OB*T_OTHER*T_EB,0.2279305897,0.2990431782,0.3119922981,0.058586386,0.1001220136,0.7089638112,0.0744906485,0.1263118469,0.6956738794
BLIZZARD--TITLE*OB*T_OTHER*T_S2R,0.2279305897,0.298038483,0.3075843984,0.058586386,0.0993864636,0.6964088473,0.0744906485,0.1262233118,0.6944853397
BLIZZARD--TITLE*OB*T_OTHER*S2R*EB,0.2279305897,0.2965881644,0.301221415,0.058586386,0.1024870258,0.7493317591,0.0744906485,0.1299267077,0.7442015917
BLIZZARD--TITLE*OB*T_OTHER*T_S2R*T_EB,0.2279305897,0.2965592531,0.301094572,0.058586386,0.1000144116,0.7071271734,0.0744906485,0.1266790683,0.700603645
BLIZZARD--TITLE*OB*EB,0.2279305897,0.295079136,0.2946008535,0.058586386,0.10584473,0.8066437817,0.0744906485,0.1361041976,0.8271313295
BLIZZARD--TITLE*OB*T_OTHER*S2R,0.2279305897,0.2942836438,0.2911107903,0.058586386,0.0994380953,0.6972901379,0.0744906485,0.1246976731,0.6740043977
BLIZZARD--TITLE*OB*T_OTHER*S2R*T_EB,0.2279305897,0.2937167237,0.2886235414,0.058586386,0.1003460709,0.7127882037,0.0744906485,0.1255412185,0.6853285755
BLIZZARD--TITLE*OB*T_S2R*EB,0.2279305897,0.2932064384,0.2863847664,0.058586386,0.1066589045,0.8205407715,0.0744906485,0.1374974594,0.8458351776
BLIZZARD--TITLE*OB*T_OTHER*CODE*EB,0.2279305897,0.2926711278,0.2840361979,0.058586386,0.1012460992,0.7281506172,0.0744906485,0.1312616057,0.7621219356
BLIZZARD--TITLE*OB*T_OTHER*T_S2R*CODE*EB,0.2279305897,0.2926382688,0.2838920357,0.058586386,0.1002973721,0.7119569721,0.0744906485,0.1305592122,0.7526926509
BLIZZARD--TITLE*OB*T_EB,0.2279305897,0.2924430988,0.2830357663,0.058586386,0.1030630731,0.7591642033,0.0744906485,0.1306973474,0.7545470478
BLIZZARD--TITLE*OB*T_OTHER*S2R*CODE*EB,0.2279305897,0.2921097191,0.2815731291,0.058586386,0.1011417937,0.7263702456,0.0744906485,0.130742442,0.7551524205
BLIZZARD--TITLE*OB*S2R*EB,0.2279305897,0.2921007219,0.2815336559,0.058586386,0.10818226,0.8465426408,0.0744906485,0.1385180723,0.8595364001
BLIZZARD--TITLE*OB,0.2279305897,0.2920795759,0.281440882,0.058586386,0.102017219,0.7413127158,0.0744906485,0.1296744581,0.7408152665
TITLE*OB*T_OTHER*EB,0.2279305897,0.2908687066,0.2761284345,0.058586386,0.095192119,0.6248163689,0.0744906485,0.1223144946,0.6420114075
BLIZZARD--TITLE*OB*T_S2R,0.2279305897,0.2906417999,0.2751329264,0.058586386,0.1031140962,0.7600351063,0.0744906485,0.1313562783,0.7633928686
BLIZZARD--TITLE*OB*T_OTHER*T_S2R*CODE,0.2279305897,0.2901134468,0.2728148827,0.058586386,0.0973001887,0.6607986135,0.0744906485,0.1252888906,0.6819411984
TITLE*OB*T_OTHER*S2R*EB,0.2279305897,0.2899850143,0.2722514106,0.058586386,0.0974334852,0.6630738259,0.0744906485,0.1238323901,0.6623884024
BLIZZARD--TITLE*OB*T_S2R*T_EB,0.2279305897,0.2898787813,0.2717853346,0.058586386,0.1037493139,0.7708775179,0.0744906485,0.1318148787,0.7695493515
BLIZZARD--TITLE*OB*S2R,0.2279305897,0.2897807214,0.2713551165,0.058586386,0.1044568697,0.7829546545,0.0744906485,0.1322210385,0.7750018457
TITLE*OB*EB,0.2279305897,0.2894344731,0.2698360211,0.058586386,0.0954363043,0.6289843208,0.0744906485,0.1214064769,0.6298217208
BLIZZARD--TITLE*OB*T_OTHER*CODE,0.2279305897,0.289375983,0.2695794075,0.058586386,0.0977067666,0.6677384151,0.0744906485,0.1251633664,0.6802560984
BLIZZARD--TITLE*OB*S2R*T_EB,0.2279305897,0.2891012902,0.2683742477,0.058586386,0.1051732098,0.7951817286,0.0744906485,0.1327277294,0.7818039196
BLIZZARD--TITLE*OB*T_OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2890113201,0.2679795216,0.058586386,0.0974430953,0.6632378595,0.0744906485,0.1252570777,0.6815141261
BLIZZARD--TITLE*OB*T_OTHER*CODE*T_EB,0.2279305897,0.2889268264,0.2676088225,0.058586386,0.0983817888,0.6792602424,0.0744906485,0.1260221271,0.691784535
TITLE*OB*T_OTHER*T_S2R*EB,0.2279305897,0.2888494285,0.2672692544,0.058586386,0.09604799,0.6394250687,0.0744906485,0.1231956215,0.6538400989
TITLE*OB*T_OTHER*T_EB,0.2279305897,0.2887992819,0.2670492465,0.058586386,0.0945160245,0.613276239,0.0744906485,0.121015069,0.6245672636
TITLE*OB*S2R*EB,0.2279305897,0.2883658685,0.2651477316,0.058586386,0.0966834903,0.6502723047,0.0744906485,0.1210740036,0.6253584323
BLIZZARD--TITLE*OB*T_OTHER*S2R*CODE,0.2279305897,0.2881556329,0.2642253648,0.058586386,0.0979476925,0.6718507334,0.0744906485,0.1252404626,0.6812910767
BLIZZARD--OB*T_TITLE*T_OTHER*EB,0.2279305897,0.2881163459,0.264053001,0.058586386,0.0979430922,0.6717722116,0.0744906485,0.1247425576,0.6746069491
BLIZZARD--TITLE*OB*T_OTHER*S2R*CODE*T_EB,0.2279305897,0.287778037,0.2625687382,0.058586386,0.0982489473,0.6769927946,0.0744906485,0.1254387969,0.6839536169
TITLE*OB*T_S2R*EB,0.2279305897,0.287492446,0.2613157646,0.058586386,0.0956187239,0.6320980075,0.0744906485,0.1216642453,0.6332821342
BLIZZARD--TITLE*OB*CODE*EB,0.2279305897,0.2869972794,0.2591433197,0.058586386,0.099982417,0.706581063,0.0744906485,0.1297673398,0.7420621574
TITLE*OB*T_OTHER*S2R*T_EB,0.2279305897,0.2867810968,0.2581948619,0.058586386,0.0963725372,0.6449647042,0.0744906485,0.1216576401,0.6331934626
TITLE*OB*T_OTHER*T_S2R*T_EB,0.2279305897,0.2867104266,0.2578848104,0.058586386,0.094934901,0.6204259619,0.0744906485,0.1213980662,0.6297088113
BLIZZARD--TITLE*OB*S2R*CODE*EB,0.2279305897,0.2865837417,0.2573290056,0.058586386,0.1009406397,0.7229367868,0.0744906485,0.1307810531,0.7556707551
TITLE*OB*T_OTHER,0.2279305897,0.2862200857,0.2557335373,0.058586386,0.092835737,0.5845957264,0.0744906485,0.1179407298,0.5832957854
BLIZZARD--OB*T_TITLE*T_OTHER*T_S2R*EB,0.2279305897,0.2861318737,0.2553465249,0.058586386,0.0976010626,0.6659341733,0.0744906485,0.1245710077,0.6723039764
BLIZZARD--TITLE*T_OB*T_OTHER*EB,0.2279305897,0.2861270185,0.2553252237,0.058586386,0.1007505321,0.719691875,0.0744906485,0.1275855817,0.7127731373
TITLE*OB*T_EB,0.2279305897,0.2858606431,0.2541565548,0.058586386,0.0945773879,0.6143236383,0.0744906485,0.1195905087,0.6054432481
BLIZZARD--TITLE*T_OB*T_OTHER*S2R*EB,0.2279305897,0.2858479061,0.2541006736,0.058586386,0.1023915665,0.747702382,0.0744906485,0.1279209453,0.7172752268
